model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
gnn_st_noglobals,post_covid,1,off_season,pooled,275,5.663225629571605,70.43849406202072,4.180060850490223,0.7884469400837706,98.54545454545456,,,blend,16.0,115,15702.0
gnn_st_noglobals,post_covid,1,overall,pooled,627,11.71102563590038,60.56693801235147,6.709486984179921,0.9271406721407908,96.81020733652312,,,blend,16.0,115,15702.0
gnn_st_noglobals,post_covid,2,flu_season,pooled,352,22.333800802947316,64.33226302568272,12.493103910576211,0.8196804144268646,93.18181818181816,,,blend,16.0,114,15702.0
gnn_st_noglobals,post_covid,2,off_season,pooled,275,6.094061897419145,68.71630448173175,4.200447721047835,0.8038890902669983,99.27272727272728,,,blend,16.0,114,15702.0
gnn_st_noglobals,post_covid,2,overall,pooled,627,17.213823915384783,66.25508822570424,8.855974002888328,0.8398430202397765,95.85326953748007,,,blend,16.0,114,15702.0
gnn_st_noglobals,post_covid,4,flu_season,pooled,352,30.261624604513766,89.08711837899556,18.053827552632853,0.6186521435802996,94.60227272727272,,,blend,16.0,113,15702.0
gnn_st_noglobals,post_covid,4,off_season,pooled,275,6.425135035899212,73.73981103033024,4.40908241185275,0.7766367956198365,100.0,,,blend,16.0,113,15702.0
gnn_st_noglobals,post_covid,4,overall,pooled,627,23.069904662303447,82.35584322607217,12.06929021018544,0.6763604164317504,96.96969696969695,,,blend,16.0,113,15702.0
lstm,exclude_covid,1,flu_season,pooled,352,19.957787168696235,51.53680745843655,10.742776119167154,0.8747163797451463,91.76136363636364,,,level,8.0,211,21390.0
lstm,exclude_covid,1,off_season,pooled,275,5.793759980086656,76.13618907790784,4.234540607799183,0.7929725681616815,98.9090909090909,,,level,8.0,211,21390.0
lstm,exclude_covid,1,overall,pooled,627,15.438170947216635,62.32600992311694,7.888286859795238,0.8845804122142087,94.896331738437,,,level,8.0,211,21390.0
lstm,exclude_covid,2,flu_season,pooled,352,32.737579893960174,65.83517399130226,17.045075871727686,0.671189107837576,84.6590909090909,,,level,8.0,210,21390.0
lstm,exclude_covid,2,off_season,pooled,275,8.296519232474736,83.52716301600388,5.361153992046009,0.7898314660452109,99.63636363636364,,,level,8.0,210,21390.0
lstm,exclude_covid,2,overall,pooled,627,25.137090153306172,73.59481830038192,11.92054873151642,0.7042745935402993,91.2280701754386,,,level,8.0,210,21390.0
lstm,exclude_covid,4,flu_season,pooled,352,39.79432690185436,89.30689601003034,23.097790090875193,0.411748279931703,83.23863636363636,,,level,8.0,206,21390.0
lstm,exclude_covid,4,off_season,pooled,275,15.613972065985967,111.9873879652821,8.53813214180686,0.6917151301139193,97.0909090909091,,,level,8.0,206,21390.0
lstm,exclude_covid,4,overall,pooled,627,31.55883772742187,99.25448020093025,16.71197520093294,0.4604225991474561,89.31419457735247,,,level,8.0,206,21390.0
