metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,week,value,unit,description
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-05-12,2019-05-18,20,1.87,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-05-19,2019-05-25,21,1.66,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-05-26,2019-06-01,22,1.81,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-06-02,2019-06-08,23,1.3,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-06-09,2019-06-15,24,1.18,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-06-16,2019-06-22,25,1.16,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-06-23,2019-06-29,26,1.01,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-06-30,2019-07-06,27,0.97,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-07-07,2019-07-13,28,0.79,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-07-14,2019-07-20,29,0.78,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-07-21,2019-07-27,30,0.78,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-07-28,2019-08-03,31,0.66,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-08-04,2019-08-10,32,0.79,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-08-11,2019-08-17,33,0.79,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-08-18,2019-08-24,34,0.69,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-08-25,2019-08-31,35,0.77,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-09-01,2019-09-07,36,0.83,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-09-08,2019-09-14,37,1.23,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-09-15,2019-09-21,38,1.22,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-09-22,2019-09-28,39,1.36,percentage,2018 - 2019
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-09-29,2019-10-05,40,1.22,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-10-06,2019-10-12,41,1.47,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-10-13,2019-10-19,42,1.47,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-10-20,2019-10-26,43,1.59,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-10-27,2019-11-02,44,1.51,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-11-03,2019-11-09,45,1.57,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-11-10,2019-11-16,46,1.79,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-11-17,2019-11-23,47,1.89,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-11-24,2019-11-30,48,2.29,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-12-01,2019-12-07,49,2.51,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-12-08,2019-12-14,50,2.42,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-12-15,2019-12-21,51,3.07,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-12-22,2019-12-28,52,4.46,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2019-12-29,2020-01-04,1,5.18,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-01-05,2020-01-11,2,5.64,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-01-12,2020-01-18,3,6.42,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-01-19,2020-01-25,4,8.31,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-01-26,2020-02-01,5,9.45,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-02-02,2020-02-08,6,10.19,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-02-09,2020-02-15,7,8.52,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-02-16,2020-02-22,8,7.15,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-02-23,2020-02-29,9,5.54,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-03-01,2020-03-07,10,5.73,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-03-08,2020-03-14,11,6.59,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-03-15,2020-03-21,12,6.3,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-03-22,2020-03-28,13,4.78,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-03-29,2020-04-04,14,4.54,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-04-05,2020-04-11,15,3.51,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-04-12,2020-04-18,16,2.81,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-04-19,2020-04-25,17,2.01,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-04-26,2020-05-02,18,1.43,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-05-03,2020-05-09,19,0.99,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-05-10,2020-05-16,20,1.11,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-05-17,2020-05-23,21,0.86,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-05-24,2020-05-30,22,0.57,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-05-31,2020-06-06,23,0.42,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-06-07,2020-06-13,24,0.46,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-06-14,2020-06-20,25,0.37,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-06-21,2020-06-27,26,0.36,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-06-28,2020-07-04,27,0.43,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-07-05,2020-07-11,28,0.49,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-07-12,2020-07-18,29,0.39,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-07-19,2020-07-25,30,0.42,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-07-26,2020-08-01,31,0.55,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-08-02,2020-08-08,32,0.63,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-08-09,2020-08-15,33,0.94,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-08-16,2020-08-22,34,0.66,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-08-23,2020-08-29,35,0.64,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-08-30,2020-09-05,36,0.57,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-09-06,2020-09-12,37,0.71,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-09-13,2020-09-19,38,0.68,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-09-20,2020-09-26,39,0.77,percentage,2019 - 2020
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-09-27,2020-10-03,40,0.65,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-10-04,2020-10-10,41,0.81,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-10-11,2020-10-17,42,0.66,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-10-18,2020-10-24,43,0.83,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-10-25,2020-10-31,44,1.13,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-11-01,2020-11-07,45,1.05,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-11-08,2020-11-14,46,1.13,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-11-15,2020-11-21,47,1.21,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-11-22,2020-11-28,48,1.23,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-11-29,2020-12-05,49,1.12,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-12-06,2020-12-12,50,1.16,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-12-13,2020-12-19,51,1.44,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-12-20,2020-12-26,52,1.08,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2020-12-27,2021-01-02,53,1.23,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-01-03,2021-01-09,1,1.32,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-01-10,2021-01-16,2,1.01,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-01-17,2021-01-23,3,1.11,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-01-24,2021-01-30,4,0.96,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-01-31,2021-02-06,5,0.83,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-02-07,2021-02-13,6,0.8,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-02-14,2021-02-20,7,0.7,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-02-21,2021-02-27,8,0.65,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-02-28,2021-03-06,9,0.81,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-03-07,2021-03-13,10,0.67,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-03-14,2021-03-20,11,0.77,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-03-21,2021-03-27,12,0.7,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-03-28,2021-04-03,13,0.7,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-04-04,2021-04-10,14,0.71,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-04-11,2021-04-17,15,0.75,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-04-18,2021-04-24,16,0.83,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-04-25,2021-05-01,17,0.76,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-05-02,2021-05-08,18,0.68,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-05-09,2021-05-15,19,1.04,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-05-16,2021-05-22,20,1.1,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-05-23,2021-05-29,21,0.98,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-05-30,2021-06-05,22,0.94,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-06-06,2021-06-12,23,0.94,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-06-13,2021-06-19,24,1.15,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-06-20,2021-06-26,25,1.07,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-06-27,2021-07-03,26,1.08,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-07-04,2021-07-10,27,1.14,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-07-11,2021-07-17,28,1.15,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-07-18,2021-07-24,29,1.35,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-07-25,2021-07-31,30,1.43,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-08-01,2021-08-07,31,1.45,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-08-08,2021-08-14,32,1.63,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-08-15,2021-08-21,33,1.59,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-08-22,2021-08-28,34,1.36,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-08-29,2021-09-04,35,1.46,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-09-05,2021-09-11,36,1.41,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-09-12,2021-09-18,37,1.58,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-09-19,2021-09-25,38,2.07,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-09-26,2021-10-02,39,1.84,percentage,2020 - 2021
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-10-03,2021-10-09,40,1.85,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-10-10,2021-10-16,41,1.88,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-10-17,2021-10-23,42,1.87,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-10-24,2021-10-30,43,1.54,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-10-31,2021-11-06,44,1.67,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-11-07,2021-11-13,45,2.52,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-11-14,2021-11-20,46,2.43,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-11-21,2021-11-27,47,2.57,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-11-28,2021-12-04,48,3.48,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-12-05,2021-12-11,49,3.79,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-12-12,2021-12-18,50,3.69,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-12-19,2021-12-25,51,4.25,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2021-12-26,2022-01-01,52,5.15,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-01-02,2022-01-08,1,3.86,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-01-09,2022-01-15,2,2.88,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-01-16,2022-01-22,3,1.79,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-01-23,2022-01-29,4,1.3,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-01-30,2022-02-05,5,1.2,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-02-06,2022-02-12,6,1.02,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-02-13,2022-02-19,7,0.89,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-02-20,2022-02-26,8,0.9,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-02-27,2022-03-05,9,1,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-03-06,2022-03-12,10,1.2,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-03-13,2022-03-19,11,1.5,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-03-20,2022-03-26,12,2.08,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-03-27,2022-04-02,13,2.74,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-04-03,2022-04-09,14,3.47,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-04-10,2022-04-16,15,3.92,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-04-17,2022-04-23,16,3.79,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-04-24,2022-04-30,17,3.64,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-05-01,2022-05-07,18,3.86,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-05-08,2022-05-14,19,4.14,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-05-15,2022-05-21,20,3.16,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-05-22,2022-05-28,21,2.79,percentage,2021 - 2022
Influenza,ILI ED Visits,ili ed visits, ,Weekly,2022-05-29,2022-06-04,22,2.33,percentage,2021 - 2022
