model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,1,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,flu_season,0.98,IT98,80.35966190257739,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.002310258945077023,0.0,,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,overall,,bands,,35,,,,,,,,,,,,,,,,,,,,,0.8857142857142857,0.9714285714285714,0.5454545454545454,-0.08571428571428572,False
arima,post_covid,arima,1,neighborhood,Charlestown,overall,0.5,IT50,44.544403832795176,35,4.0,0.11428571428571428,3.0,1.0,1.0,30.0,0.75,0.25,0.75,0.03225806451612903,0.6,0.75,0.717741935483871,0.717741935483871,0.717741935483871,0.9428571428571428,1.0,0.048250397867625895,0.10122448979591839,0.5233327630012765,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,overall,0.9,IT90,75.51034339625782,35,3.0,0.08571428571428572,0.0,0.0,3.0,32.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9142857142857143,0.0,0.07429712145970387,0.0783673469387755,0.051937773040237056,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,overall,0.98,IT98,105.83479691598406,35,0.0,0.0,0.0,0.0,0.0,35.0,,,,0.0,,,,,,1.0,,0.00017694746210414705,0.0,,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,flu_season,,bands,,21,,,,,,,,,,,,,,,,,,,,,0.8095238095238095,0.9523809523809523,0.5116279069767442,-0.14285714285714285,False
arima,post_covid,arima,1,neighborhood,Charlestown,flu_season,0.5,IT50,44.544403832795176,21,4.0,0.19047619047619047,3.0,1.0,1.0,16.0,0.75,0.25,0.75,0.058823529411764705,0.6,0.75,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.9047619047619048,1.0,0.08034414498995478,0.1541950113378685,0.47894458910926396,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,flu_season,0.9,IT90,75.51034339625782,21,3.0,0.14285714285714285,0.0,0.0,3.0,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8571428571428571,0.0,0.12382853575320969,0.12244897959183672,-0.011266375317879218,,,,,True
arima,post_covid,arima,1,neighborhood,Charlestown,flu_season,0.98,IT98,105.83479691598406,21,0.0,0.0,0.0,0.0,0.0,21.0,,,,0.0,,,,,,1.0,,0.0002949124368402451,0.0,,,,,,True
arima,post_covid,arima,1,neighborhood,Dorchester,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.9591836734693877,1.0,0.7860262008733625,0.0,False
arima,post_covid,arima,1,neighborhood,Dorchester,overall,0.5,IT50,157.0086457734027,49,4.0,0.08163265306122448,3.0,0.0,1.0,45.0,0.75,0.0,1.0,0.0,0.75,0.8571428571428571,0.75,0.8463949843260188,0.8565603610802411,0.9795918367346939,0.75,0.01640819290271806,0.07496876301541025,0.7811329380031886,,,,,True
arima,post_covid,arima,1,neighborhood,Dorchester,overall,0.9,IT90,264.26252974322875,49,0.0,0.0,0.0,1.0,0.0,48.0,,1.0,0.0,0.02040816326530612,0.0,0.0,,0.0,,0.9795918367346939,,0.00768629044694621,0.0,,,,,,True
arima,post_covid,arima,1,neighborhood,Dorchester,overall,0.98,IT98,368.7005757586777,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,2.760293700097754e-05,0.0,,,,,,True
arima,post_covid,arima,1,neighborhood,Dorchester,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.9230769230769231,1.0,0.7719298245614035,0.0,False
arima,post_covid,arima,1,neighborhood,Dorchester,flu_season,0.5,IT50,157.0086457734027,26,4.0,0.15384615384615385,3.0,0.0,1.0,22.0,0.75,0.0,1.0,0.0,0.75,0.8571428571428571,0.75,0.8354430379746836,0.8469895538599198,0.9615384615384616,0.75,0.030923119211058156,0.13017751479289943,0.7624542206059624,,,,,True
