model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
persistence,exclude_covid,overall,pooled,ALL,1,627,15.806117463890258,66.53252543971833,8.936842105263157,0.8708879041331536,627.0,95.05582137161085,level,none,0,8dd9348,,,,,,,5.0,3.0,4.0,6.0
persistence,post_covid,overall,pooled,ALL,1,627,15.806117463890258,66.53252543971833,8.936842105263157,0.8708879041331536,627.0,95.05582137161085,level,none,0,8dd9348,,,,,,,5.0,3.0,4.0,6.0
gnn_multiedge_covid_rsv_full,full,overall,pooled,ALL,1,627,15.987092655221188,76.36830979923465,9.862459288853588,0.8747923013686195,627.0,93.77990430622008,delta,train,6337,8dd9348,,,,0.7355885778499183,0.7700253617128292,0.8712589085499154,7.0,5.0,7.0,4.0
gnn_multiedge_covid_rsv,post_covid,overall,pooled,ALL,1,627,18.553078664831553,102.98998773686397,12.013707099728988,0.8685926373242966,627.0,90.74960127591709,delta,train,6337,8dd9348,,,,0.6438990012925974,0.7745745683194506,0.8444364122240493,8.0,9.0,9.0,8.0
dualtopo_fullhistory,full,overall,pooled,ALL,1,627,19.551575582288795,88.22795880465786,10.562944748375024,0.8039289502585438,627.0,90.9090909090909,level,train,479905,8dd9348,,,,0.6045380126478819,0.7343991844461528,0.8033845973374805,9.0,8.0,8.0,13.0
gnn_multiedge,post_covid,overall,pooled,ALL,1,627,24.89798414577594,117.7986160731321,15.365794132771104,0.8346566329781432,627.0,87.40031897926634,delta,train,4801,8dd9348,,,,0.3586876670434442,0.7451366053514105,0.7738280190619766,10.0,10.0,10.0,10.0
dualtopo,post_covid,overall,pooled,ALL,1,627,28.914844930452,206.272333419542,18.201873665221,0.4168523709236908,627.0,86.92185007974481,level,train,479905,8dd9348,,,,0.1350660113838114,0.5143415667812321,0.3429581755915025,11.0,22.0,13.0,22.0
gnn_multiedge_season,post_covid,overall,pooled,ALL,1,627,28.927564513225825,129.9563550184778,17.645472098005254,0.8359748058637607,627.0,85.96491228070175,delta,train,4865,8dd9348,,,,0.1343048960259282,0.756603796532985,0.7373416172892678,12.0,12.0,12.0,9.0
gnn_uniform,post_covid,overall,pooled,ALL,1,627,28.952983736630348,120.49800970941378,16.728725588017483,0.8298007029857516,627.0,84.52950558213716,delta,train,4801,8dd9348,,,,0.1327828207414266,0.7350242304376771,0.7383781297663389,13.0,11.0,11.0,11.0
dualtopo_no_bg,post_covid,overall,pooled,ALL,1,627,29.029899094409423,208.85103799904877,18.327171126431065,0.4121753784077364,627.0,86.92185007974481,level,train,479905,8dd9348,,,,0.128169052798882,0.5073053185431922,0.3393307482773235,14.0,23.0,14.0,23.0
gnn_corrbinary,post_covid,overall,pooled,ALL,1,627,31.787941702701776,138.62895130915203,19.132040098903666,0.8155980341238476,627.0,83.89154704944178,delta,train,4801,8dd9348,,,,-0.0453603787936911,0.7509894457088498,0.7019269235654594,15.0,15.0,15.0,12.0
gnn_multiedge_full,full,overall,pooled,ALL,1,627,32.22084551957085,141.03849614155158,19.448785197601744,0.7426233405352936,627.0,80.86124401913875,delta,train,4801,8dd9348,,,,-0.0740267385744033,0.7339268657392285,0.6596332093028197,16.0,17.0,17.0,17.0
gnn_multiedge_rt,post_covid,overall,pooled,ALL,1,627,32.978287250522094,139.00711833858247,19.32798871108029,0.7897306531560601,627.0,80.22328548644339,delta,train,5313,8dd9348,,,,-0.125116290224108,0.7325349518119131,0.6812474958679229,17.0,16.0,16.0,15.0
gnn_geo,post_covid,overall,pooled,ALL,1,627,36.45166799159273,152.55259498568222,21.70662842536467,0.7866750890448461,627.0,74.8006379585327,delta,train,4801,8dd9348,,,,-0.3745990255004925,0.7514211222316711,0.6478509449337565,18.0,19.0,21.0,16.0
gnn_multiedge_leaknorm,post_covid,overall,pooled,ALL,1,627,37.766547124460565,151.4541303753508,21.473629368169075,0.8017309125365609,627.0,80.7017543859649,delta,all,4801,8dd9348,,,,-0.4755563132736189,0.7371472998056146,0.6488290945455064,19.0,18.0,20.0,14.0
seasonal_naive,exclude_covid,overall,pooled,ALL,1,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,627.0,94.73684210526316,level,none,0,8dd9348,,,,,,,20.0,13.0,18.0,20.0
seasonal_naive,post_covid,overall,pooled,ALL,1,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,627.0,97.4481658692185,level,none,0,8dd9348,,,,,,,20.0,13.0,18.0,20.0
gnn_multiedge_level,post_covid,overall,pooled,ALL,1,627,50.20207119760313,201.23710136121028,28.275501446670702,0.6231001214875223,627.0,64.274322169059,level,train,4801,8dd9348,,,,-1.6072608902305283,0.7535528260948718,0.4617224568879589,22.0,21.0,22.0,19.0
gnn_multiedge_season_level,post_covid,overall,pooled,ALL,1,627,50.619117230164235,193.411452022066,28.30039489307282,0.7004233634043422,627.0,62.67942583732058,level,train,4865,8dd9348,,,,-1.6507596651589431,0.7627177845457688,0.5034178200127448,23.0,20.0,23.0,18.0
