model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
seasonal_naive,post_covid,Dorchester,80.76923076923077,100.0,89.79591836734694,0.0764592166143762,0.7769960324618469,0.3343259309906929,72.6,7.830434782608696,42.197959183673476,107.20791438287398,75.50633971718045,92.32758341734436,106.11332113866251,9.265832513806464,77.55651527257069,level,none,0,8dd9348,,,,13.0
gnn_multiedge,post_covid,Dorchester,53.84615384615385,78.26086956521739,65.3061224489796,0.3971468117029365,0.7139979177811306,0.4118359747738317,65.00420856705078,41.564514927242115,54.00190338918141,95.05967907568883,169.2893032679471,129.90215573736108,87.61128211806437,78.66845283391453,83.532938810929,delta,train,4801,8dd9348,,,,17.666666666666668
gnn_corrbinary,post_covid,Dorchester,69.23076923076923,78.26086956521739,73.46938775510205,0.375517073748612,0.7345360360445526,0.3719295233593297,54.74503971980168,50.12168871838114,52.57489537219612,83.39269818062951,226.9702687524528,150.78625171434248,79.31048043736956,91.71008068075824,85.35531434409728,delta,train,4801,8dd9348,,,,16.333333333333332
gnn_multiedge_leaknorm,post_covid,Dorchester,69.23076923076923,78.26086956521739,73.46938775510205,0.2947333907844717,0.6974685146898543,0.3245592638664095,64.93842000227708,49.576314594434656,57.727635831249,94.49597677168629,206.42682020774345,147.03494409881517,92.78200994010288,95.37428967549089,94.0076965582336,delta,all,4801,8dd9348,,,,19.666666666666668
gnn_multiedge_level,post_covid,Dorchester,65.38461538461539,65.21739130434783,65.3061224489796,0.2887398774621622,0.6939082545429847,0.382141083516169,68.83803184215839,56.32161870210067,62.96298077641701,121.36964774553137,311.61499796640817,210.66848560431032,98.98346852339688,91.11732220202596,95.37202456215596,level,train,4801,8dd9348,,,,20.0
gnn_uniform,post_covid,Dorchester,73.07692307692307,78.26086956521739,75.51020408163265,0.4048981011384439,0.7572001972846395,0.3434105624164,55.911595637981705,64.77438764986785,60.07168168437724,87.80692617767124,273.22713734412775,174.8409028476406,82.07771531614401,120.66296978997592,102.02293035029643,delta,train,4801,8dd9348,,,,19.333333333333332
gnn_geo,post_covid,Dorchester,61.53846153846154,78.26086956521739,69.38775510204081,0.1371790892516534,0.7454618220589451,0.2767567993447871,99.7100506562453,65.40085582111193,83.60573471322351,155.10697869722267,243.4190717181724,196.5595937886889,140.38838493571637,127.58531359797,134.53060086621778,delta,train,4801,8dd9348,,,,23.0
dualtopo_fullhistory,full,East Boston,96.0,100.0,97.72727272727272,0.7556238562591348,0.5124653128780428,0.8080143684711143,8.374014091491699,2.293911657835308,5.748515313321894,102.02562087791569,79.71242655917219,92.3903778766401,10.484638017031047,2.891216553375092,8.128253738316417,level,train,479905,8dd9348,,,,1.0
lstm,post_covid,East Boston,88.0,100.0,93.18181818181816,0.4681908231447894,0.7018471185766176,0.5129808562932593,9.237327777862548,4.00689098458541,6.978730071674695,82.42518170251509,113.40874946121524,95.80444959831742,14.159591023769025,5.145517685310588,11.19598258077529,level,train,21390,8dd9348,,,,4.333333333333333
gnn_multiedge_covid_rsv,post_covid,East Boston,88.0,100.0,93.18181818181816,0.3929820294948375,0.4046593910496478,0.4568852280293691,11.63623833656311,3.1932428165485987,7.990399362011389,121.37601965437403,121.5256292755971,121.44062380899304,15.406067512112484,4.116068156815282,11.923593140810462,delta,train,6337,8dd9348,,,,4.666666666666667
gnn_multiedge_season_level,post_covid,East Boston,92.0,100.0,95.45454545454544,0.4525057784137538,0.6811923742695333,0.5728150510939111,11.646181888580324,4.399824443616365,8.517072991891341,139.80269623815278,81.72039622914413,114.7217030524445,15.139922413198589,6.599810542582316,12.208439472631085,level,train,4865,8dd9348,,,,6.333333333333333
gnn_multiedge_covid_rsv_full,full,East Boston,84.0,100.0,90.9090909090909,0.2162354944888705,0.3906527540257318,0.3826885781895326,11.151209964752198,3.127055808117515,7.686234306205403,107.0942870314609,104.59737282129868,106.01607407707266,16.36899789192313,4.004328552264169,12.6160617284437,delta,train,6337,8dd9348,,,,5.666666666666667
arima,post_covid,East Boston,96.0,100.0,97.72727272727272,0.0814341468381098,0.4149157490663656,0.2315103712776856,10.921932321240448,6.549883635061929,9.034002206754268,128.59580818923945,253.27939185716536,182.4364465912983,15.82994633595301,7.207260943631351,12.837823750773875,level,none,,8dd9348,,,,8.666666666666666
dualtopo_no_bg,post_covid,East Boston,84.0,100.0,90.9090909090909,0.2560148705130164,0.5011990209765839,0.4717737551115999,10.286832046508788,8.24394326460989,9.404675527052444,135.32403308318973,314.7201802557789,212.7905511804442,15.356563693708356,8.737488370276589,12.92120488450767,level,train,479905,8dd9348,,,,8.666666666666666
lstm,exclude_covid,East Boston,88.0,100.0,93.18181818181816,0.2963216367417329,0.7240427458257609,0.3994471831515699,11.701384765625,3.8758377878289463,8.322171297940342,83.30222160014594,81.1845177107552,82.38775855699994,16.434365205485882,5.800058240444148,12.960939420340557,level,train,21390,8dd9348,,,,9.333333333333334
