added_route_id,trip_id
38,74219453_1
37,74219453_2
CR-Franklin,StPats2026-817434-5806
CR-Franklin,StPats2026-817435-5815
CR-Franklin,StPats2026-817436-5821
CR-Franklin,StPats2026-817439-5831
CR-Franklin,StPats2026-817440-5838
CR-Franklin,StPats2026-817441-5839
CR-Franklin,StPats2026-817442-5846
CR-Franklin,StPats2026-817446-5867
CR-Franklin,StPats2026-817447-5868
CR-Franklin,StPats2026-817448-5877
CR-Franklin,StPats2026-817449-5878
CR-Franklin,StPats2026-817450-5884
CR-Franklin,StPats2026-817451-5885
CR-Franklin,StPats2026-817452-5892
CR-Franklin,StPats2026-817453-5893
CR-Kingston,StPats2026-817531-7047
CR-Fairmount,StPats2026-817414-5706
CR-Fairmount,StPats2026-817415-5715
CR-Fairmount,StPats2026-817416-5721
CR-Fairmount,StPats2026-817419-5731
CR-Fairmount,StPats2026-817420-5738
CR-Fairmount,StPats2026-817421-5739
CR-Fairmount,StPats2026-817422-5746
CR-Fairmount,StPats2026-817426-5767
CR-Fairmount,StPats2026-817427-5768
CR-Fairmount,StPats2026-817428-5777
CR-Fairmount,StPats2026-817429-5778
CR-Fairmount,StPats2026-817430-5784
CR-Fairmount,StPats2026-817431-5785
CR-Fairmount,StPats2026-817432-5792
CR-Fairmount,StPats2026-817433-5793
CR-Franklin,BasewUpdatedWalpoleTurns-772778-856
CR-Franklin,BasewUpdatedWalpoleTurns-772785-874
CR-Franklin,BasewUpdatedWalpoleTurns-772786-875
CR-Franklin,BasewUpdatedWalpoleTurns-772789-885
CR-Franklin,BasewUpdatedWalpoleTurns-772792-892
CR-Franklin,BasewUpdatedWalpoleTurns-772793-893
CR-Franklin,BasewUpdatedWalpoleTurns-772796-908
CR-Franklin,BasewUpdatedWalpoleTurns-772824-984
CR-Kingston,BasewUpdatedWalpoleTurns-772993-2002
CR-Kingston,BasewUpdatedWalpoleTurns-773010-2047
CR-Needham,BasewUpdatedWalpoleTurns-772791-889
CR-Needham,BasewUpdatedWalpoleTurns-772793-893
CR-Fairmount,BasewUpdatedWalpoleTurns-772745-776
CR-Fairmount,BasewUpdatedWalpoleTurns-772748-784
CR-Fairmount,BasewUpdatedWalpoleTurns-772750-792
CR-Fairmount,BasewUpdatedWalpoleTurns-772751-793
CR-Fairmount,BasewUpdatedWalpoleTurns-772825-991
CR-Fairmount,BasewUpdatedWalpoleTurns-772944-1708
CR-Fairmount,BasewUpdatedWalpoleTurns-772945-1709
CR-Fairmount,BasewUpdatedWalpoleTurns-772961-1775
CR-Fairmount,BasewUpdatedWalpoleTurns-772963-1785
CR-Fairmount,BasewUpdatedWalpoleTurns-774689-1788
CR-Fairmount,BasewUpdatedWalpoleTurns-774691-1782
CR-Fairmount,BasewUpdatedWalpoleTurns-788924-1756
CR-Franklin,SouthWKNDBase25-772528-5806
CR-Franklin,SouthWKNDBase25-772529-5815
CR-Franklin,SouthWKNDBase25-772530-5821
CR-Franklin,SouthWKNDBase25-772531-5824
CR-Franklin,SouthWKNDBase25-772532-5830
CR-Franklin,SouthWKNDBase25-772533-5831
CR-Franklin,SouthWKNDBase25-772534-5838
CR-Franklin,SouthWKNDBase25-772535-5839
CR-Franklin,SouthWKNDBase25-772536-5846
CR-Franklin,SouthWKNDBase25-772537-5847
CR-Franklin,SouthWKNDBase25-772538-5855
CR-Franklin,SouthWKNDBase25-772539-5856
CR-Franklin,SouthWKNDBase25-772540-5867
CR-Franklin,SouthWKNDBase25-772541-5868
CR-Franklin,SouthWKNDBase25-772542-5877
CR-Franklin,SouthWKNDBase25-772543-5878
CR-Franklin,SouthWKNDBase25-772544-5884
CR-Franklin,SouthWKNDBase25-772545-5885
CR-Franklin,SouthWKNDBase25-772546-5892
CR-Franklin,SouthWKNDBase25-772547-5893
CR-Kingston,SouthWKNDBase25-772641-7047
CR-Fairmount,SouthWKNDBase25-772508-5706
CR-Fairmount,SouthWKNDBase25-772509-5715
CR-Fairmount,SouthWKNDBase25-772510-5721
CR-Fairmount,SouthWKNDBase25-772511-5724
CR-Fairmount,SouthWKNDBase25-772512-5730
CR-Fairmount,SouthWKNDBase25-772513-5731
CR-Fairmount,SouthWKNDBase25-772514-5738
CR-Fairmount,SouthWKNDBase25-772515-5739
CR-Fairmount,SouthWKNDBase25-772516-5746
CR-Fairmount,SouthWKNDBase25-772517-5747
CR-Fairmount,SouthWKNDBase25-772518-5754
CR-Fairmount,SouthWKNDBase25-772519-5755
CR-Fairmount,SouthWKNDBase25-772520-5767
CR-Fairmount,SouthWKNDBase25-772521-5768
CR-Fairmount,SouthWKNDBase25-772522-5777
CR-Fairmount,SouthWKNDBase25-772523-5778
CR-Fairmount,SouthWKNDBase25-772524-5784
CR-Fairmount,SouthWKNDBase25-772525-5785
CR-Fairmount,SouthWKNDBase25-772526-5792
CR-Fairmount,SouthWKNDBase25-772527-5793
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-0-09:33:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-0-11:25:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-0-13:15:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-0-15:21:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-1-10:20:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-1-12:15:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-1-13:53:00
CR-Franklin,CR-FoxboroWalpoleShuttle-Weekday-1-15:50:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-05:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-07:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-09:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-11:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-13:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-15:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-17:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-19:46:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-1-22:24:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-05:53:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-07:53:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-09:38:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-11:38:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-13:38:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-15:38:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-17:48:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-20:28:00
CR-Lowell,CR-TowerAShuttle-LowellLocal-0-23:13:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-05:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-07:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-09:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-11:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-13:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-15:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-17:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-19:46:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-1-22:24:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-06:13:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-08:13:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-10:03:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-12:03:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-14:03:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-16:08:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-18:08:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-20:48:00
CR-Lowell,CR-TowerAShuttle-LowellExpress-0-23:33:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-05:42:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-06:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-07:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-08:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-09:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-10:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-11:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-12:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-13:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-14:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-15:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-16:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-17:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-18:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-19:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-20:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-21:52:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-1-23:22:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-05:55:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-06:55:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-07:45:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-08:45:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-09:45:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-10:25:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-11:25:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-12:25:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-13:25:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-14:25:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-15:35:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-16:35:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-17:35:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-18:35:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-19:56:00
CR-Newburyport,CR-TowerAShuttle-NewburyportLocal-0-21:36:00
