trip_id,trip_property_id,value
74123833,note,Does not run during school vacation
74123833,trip_type,supplemental
74123834,note,Does not run during school vacation
74123834,trip_type,supplemental
74123925,note,Does not run during school vacation
74123925,trip_type,supplemental
74124020,note,Does not run during school vacation
74124020,trip_type,supplemental
74124021,note,Does not run during school vacation
74124021,trip_type,supplemental
74124022,note,Does not run during school vacation
74124022,trip_type,supplemental
74124023,note,Does not run during school vacation
74124023,trip_type,supplemental
74124024,note,Does not run during school vacation
74124024,trip_type,supplemental
74124083,note,Does not run during school vacation
74124083,trip_type,supplemental
74124290,note,Waits at Fields Corner for last Red Line train
74124290,trip_type,wait
74124466,note,Waits at Quincy Center for last Red Line train
74124466,trip_type,wait
74213126,note,Waits at Mattapan for last Mattapan Line train
74213126,note,Waits at Ashmont for last Red Line train
74213126,trip_type,wait
74213332,note,Waits at Forest Hills for last Orange Line train
74213332,trip_type,wait
74213812,note,Waits at Ashmont for last Red Line train
74213812,trip_type,wait
74213833,note,Does not run during school vacation
74213833,trip_type,supplemental
74213836,note,Does not run during school vacation
74213836,trip_type,supplemental
74213844,note,Does not run during school vacation
74213844,trip_type,supplemental
74213847,note,Does not run during school vacation
74213847,trip_type,supplemental
74213915,note,Waits at Forest Hills for last Orange Line train
74213915,trip_type,wait
74214128,note,Does not run during school vacation
74214128,trip_type,supplemental
74214218,note,Waits at Forest Hills for last Orange Line train
74214218,trip_type,wait
74214320,note,Does not run during school vacation
74214320,trip_type,supplemental
74214349,note,Does not run during school vacation
74214349,trip_type,supplemental
74214365,note,Does not run during school vacation
74214365,trip_type,supplemental
74214372,note,Does not run during school vacation
74214372,trip_type,supplemental
74214375,note,Does not run during school vacation
74214375,trip_type,supplemental
74214383,note,Does not run during school vacation
74214383,trip_type,supplemental
74214385,note,Does not run during school vacation
74214385,trip_type,supplemental
74214425,note,Does not run during school vacation
74214425,trip_type,supplemental
74214451,note,Does not run during school vacation
74214451,trip_type,supplemental
74214738,note,Waits at Forest Hills for last Orange Line train
74214738,trip_type,wait
74214818,note,Does not run during school vacation
74214818,trip_type,supplemental
74214877,note,Does not run during school vacation
74214877,trip_type,supplemental
74217910,note,Waits at Forest Hills for last Orange Line train
74217910,trip_type,wait
74218390,note,Waits at Ashmont for last Red Line train
74218390,trip_type,wait
74218411,note,Does not run during school vacation
74218411,trip_type,supplemental
74218414,note,Does not run during school vacation
74218414,trip_type,supplemental
74218422,note,Does not run during school vacation
74218422,trip_type,supplemental
74218425,note,Does not run during school vacation
74218425,trip_type,supplemental
74218493,note,Waits at Forest Hills for last Orange Line train
74218493,trip_type,wait
74218706,note,Does not run during school vacation
74218706,trip_type,supplemental
74218796,note,Waits at Forest Hills for last Orange Line train
74218796,trip_type,wait
74218898,note,Does not run during school vacation
74218898,trip_type,supplemental
74218927,note,Does not run during school vacation
74218927,trip_type,supplemental
74218943,note,Does not run during school vacation
74218943,trip_type,supplemental
74218950,note,Does not run during school vacation
74218950,trip_type,supplemental
74218953,note,Does not run during school vacation
74218953,trip_type,supplemental
74218961,note,Does not run during school vacation
74218961,trip_type,supplemental
74218963,note,Does not run during school vacation
74218963,trip_type,supplemental
74219003,note,Does not run during school vacation
74219003,trip_type,supplemental
74219029,note,Does not run during school vacation
74219029,trip_type,supplemental
