model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge_season,post_covid,feature,flu_lag7,flu_lags,off_season,24,origins,1,11.261465934046472,11.4490894279188,0.2577452981576342,0.18762349387232824,1.6660663449248774,20,4
gnn_multiedge_season,post_covid,feature,flu_lag6,flu_lags,off_season,24,origins,1,11.261465934046472,11.329121154569972,0.221560888332832,0.06765522052350015,0.6007674393345189,20,5
gnn_multiedge_season,post_covid,feature,flu_lag5,flu_lags,off_season,24,origins,1,11.261465934046472,11.313646691226106,0.04448963862893807,0.05218075717963444,0.46335670227334996,20,6
gnn_multiedge_season,post_covid,feature,wind_speed_max_kmh,weather,off_season,24,origins,1,11.261465934046472,11.276153810576355,0.22651086684523006,0.014687876529883681,0.13042597310069767,20,7
gnn_multiedge_season,post_covid,feature,nonwhite_share,demographics,off_season,24,nodes,1,11.261465934046472,11.265928397014282,0.007361676614269435,0.004462462967810055,0.03962595095474041,20,8
gnn_multiedge_season,post_covid,feature,pct_children,demographics,off_season,24,nodes,1,11.261465934046472,11.264485140009008,0.0053594731543384145,0.00301920596253602,0.026810061675968316,20,9
gnn_multiedge_season,post_covid,feature,owner_rate,demographics,off_season,24,nodes,1,11.261465934046472,11.262101543384976,0.003662985379897177,0.0006356093385040396,0.005644108344566579,20,10
gnn_multiedge_season,post_covid,feature,pct_elderly,demographics,off_season,24,nodes,1,11.261465934046472,11.26153431985065,0.0013009951682120863,6.838580417856122e-05,0.0006072549042821535,20,11
gnn_multiedge_season,post_covid,feature,flu_lag2,flu_lags,off_season,24,origins,1,11.261465934046472,11.259157577992271,0.09303293354741592,-0.0023083560542005443,-0.020497829214416542,20,12
gnn_multiedge_season,post_covid,feature,transit_share,demographics,off_season,24,nodes,1,11.261465934046472,11.25375848844939,0.004706988537898078,-0.00770744559708092,-0.06844087299309069,20,13
gnn_multiedge_season,post_covid,feature,poverty_rate,demographics,off_season,24,nodes,1,11.261465934046472,11.24990161702934,0.006270073400585319,-0.011564317017130676,-0.10268926874048079,20,14
gnn_multiedge_season,post_covid,feature,no_vehicle_rate,demographics,off_season,24,nodes,1,11.261465934046472,11.249804317792439,0.0052237171665209135,-0.011661616254032836,-0.1035532702609933,20,15
gnn_multiedge_season,post_covid,feature,pop_density,demographics,off_season,24,nodes,1,11.261465934046472,11.249202102282107,0.0035955900613223435,-0.012263831764364852,-0.10890084680084106,20,16
gnn_multiedge_season,post_covid,feature,precipitation_sum_mm,weather,off_season,24,origins,1,11.261465934046472,11.207901420871465,0.04788084315901444,-0.05356451317500621,-0.4756442321870915,20,17
gnn_multiedge_season,post_covid,feature,flu_lag4,flu_lags,off_season,24,origins,1,11.261465934046472,11.19233670663409,0.07730523237431608,-0.0691292274123807,-0.6138563826169758,20,18
gnn_multiedge_season,post_covid,feature,flu_lag3,flu_lags,off_season,24,origins,1,11.261465934046472,11.153153578182682,0.29199699418160363,-0.10831235586378973,-0.9617962394783085,20,19
gnn_multiedge_season,post_covid,feature,temp_max_c,weather,off_season,24,origins,1,11.261465934046472,11.109110833836965,0.11362114087481039,-0.1523551002095065,-1.3528887011849462,20,20
gnn_multiedge_season,post_covid,feature,relative_humidity_mean,weather,off_season,24,origins,1,11.261465934046472,11.06306563940726,0.157560529340315,-0.19840029463921205,-1.7617625964608572,20,21
gnn_multiedge_season,post_covid,feature,flu_lag1,flu_lags,off_season,24,origins,1,11.261465934046472,10.974295553898926,0.07095686458861881,-0.28717038014754515,-2.550026629120735,20,22
gnn_multiedge_season,post_covid,feature,flu_lag0,flu_lags,overall,24,origins,1,24.134068599943614,26.281061023865085,2.2622653565618682,2.1469924239214713,8.896106410862226,20,1
gnn_multiedge_season,post_covid,feature,flu_lag6,flu_lags,overall,24,origins,1,24.134068599943614,25.039349862692028,2.50755975955362,0.9052812627484137,3.751051170669701,20,2
gnn_multiedge_season,post_covid,feature,flu_lag3,flu_lags,overall,24,origins,1,24.134068599943614,25.022314444088252,0.33890179793314357,0.8882458441446381,3.6804645701003493,20,3
gnn_multiedge_season,post_covid,feature,precipitation_sum_mm,weather,overall,24,origins,1,24.134068599943614,24.792685265748176,0.43652354031093665,0.658616665804562,2.728991438294415,20,4
gnn_multiedge_season,post_covid,feature,temp_min_c,weather,overall,24,origins,1,24.134068599943614,24.48283785470419,1.9566230581038777,0.3487692547605761,1.4451324413712445,20,5
gnn_multiedge_season,post_covid,feature,pct_children,demographics,overall,24,nodes,1,24.134068599943614,24.184220072319334,0.03428422748079678,0.050151472375720374,0.20780363728574777,20,6
gnn_multiedge_season,post_covid,feature,nonwhite_share,demographics,overall,24,nodes,1,24.134068599943614,24.165034511552903,0.030067346316975344,0.03096591160928952,0.12830787929956355,20,7
gnn_multiedge_season,post_covid,feature,pct_elderly,demographics,overall,24,nodes,1,24.134068599943614,24.158837758543203,0.03463224931426105,0.024769158599589503,0.10263150822256042,20,8
gnn_multiedge_season,post_covid,feature,owner_rate,demographics,overall,24,nodes,1,24.134068599943614,24.134846544995778,0.028458734584694573,0.0007779450521638864,0.0032234310138892367,20,9
gnn_multiedge_season,post_covid,feature,no_vehicle_rate,demographics,overall,24,nodes,1,24.134068599943614,24.11859692689552,0.005881157933611938,-0.015471673048093493,-0.06410718932045151,20,10
gnn_multiedge_season,post_covid,feature,transit_share,demographics,overall,24,nodes,1,24.134068599943614,24.094648276284893,0.016299263647438843,-0.039420323658720946,-0.16333890614205449,20,11
gnn_multiedge_season,post_covid,feature,poverty_rate,demographics,overall,24,nodes,1,24.134068599943614,24.068700316070423,0.020738772387781417,-0.06536828387319105,-0.27085480263093215,20,12
gnn_multiedge_season,post_covid,feature,relative_humidity_mean,weather,overall,24,origins,1,24.134068599943614,24.020915929597923,0.583407711256139,-0.11315267034569132,-0.46885037173531396,20,13
gnn_multiedge_season,post_covid,feature,flu_lag7,flu_lags,overall,24,origins,1,24.134068599943614,23.954330338557863,1.6185392193640575,-0.17973826138575077,-0.7447491111638371,20,14
gnn_multiedge_season,post_covid,feature,flu_lag2,flu_lags,overall,24,origins,1,24.134068599943614,23.94929797415564,0.2875146158986831,-0.18477062578797288,-0.7656008145613896,20,15
gnn_multiedge_season,post_covid,feature,pop_density,demographics,overall,24,nodes,1,24.134068599943614,23.870980891878975,0.051617514002732914,-0.26308770806463855,-1.0901092245393436,20,16
gnn_multiedge_season,post_covid,feature,temp_mean_c,weather,overall,24,origins,1,24.134068599943614,23.657028861684065,1.2296684372532007,-0.47703973825954904,-1.9766237768159138,20,17
gnn_multiedge_season,post_covid,feature,flu_lag1,flu_lags,overall,24,origins,1,24.134068599943614,23.502332526204817,0.8857680383224562,-0.6317360737387965,-2.6176111629195935,20,18
gnn_multiedge_season,post_covid,feature,flu_lag4,flu_lags,overall,24,origins,1,24.134068599943614,23.408250100188127,0.766889071183313,-0.7258184997554871,-3.007443592653013,20,19
gnn_multiedge_season,post_covid,feature,temp_max_c,weather,overall,24,origins,1,24.134068599943614,23.30686190430157,0.7625863037346036,-0.8272066956420439,-3.4275476271911174,20,20
gnn_multiedge_season,post_covid,feature,flu_lag5,flu_lags,overall,24,origins,1,24.134068599943614,22.96091845474404,0.990338753730474,-1.1731501451995747,-4.860971287710335,20,21
gnn_multiedge_season,post_covid,feature,wind_speed_max_kmh,weather,overall,24,origins,1,24.134068599943614,22.101596933501135,1.282675249523096,-2.032471666442479,-8.421587342497352,20,22
gnn_multiedge_season,post_covid,global,ili_count,citywide,flu_season,24,origins,1,30.63358086676209,33.130637123813074,4.620129685794206,2.497056257050982,8.151369139349708,20,1
gnn_multiedge_season,post_covid,global,ili_ed_perc,citywide,flu_season,24,origins,1,30.63358086676209,32.617297180150224,3.5965013029862503,1.9837163133881326,6.4756266073369675,20,2
gnn_multiedge_season,post_covid,global,ed_count,citywide,flu_season,24,origins,1,30.63358086676209,30.8033465887258,0.38172400516962346,0.16976572196370654,0.5541817742499211,20,3
gnn_multiedge_season,post_covid,global,flu_cases,citywide,flu_season,24,origins,1,30.63358086676209,29.759789387626192,1.1486733055058118,-0.8737914791358996,-2.852397448853186,20,4
gnn_multiedge_season,post_covid,global,woy_sin,seasonality,flu_season,24,origins,1,30.63358086676209,29.748599227643655,0.757584428486633,-0.8849816391184362,-2.8889265116199816,20,5
gnn_multiedge_season,post_covid,global,woy_cos,seasonality,flu_season,24,origins,1,30.63358086676209,29.593004412316123,1.5095974144563804,-1.0405764544459686,-3.3968488991602355,20,6
gnn_multiedge_season,post_covid,global,monthly_cases,citywide,flu_season,24,origins,1,30.63358086676209,29.185817532699993,0.85963312601409,-1.447763334062099,-4.726066274651373,20,7
gnn_multiedge_season,post_covid,global,ili_ed_perc,citywide,off_season,24,origins,1,11.261465934046472,21.949441649624614,1.4164013536749653,10.687975715578142,94.90749941591075,20,1
gnn_multiedge_season,post_covid,global,ili_count,citywide,off_season,24,origins,1,11.261465934046472,20.634826463803318,1.1831710021686943,9.373360529756846,83.23392873230323,20,2
gnn_multiedge_season,post_covid,global,flu_cases,citywide,off_season,24,origins,1,11.261465934046472,17.97335599679337,0.9517566974167946,6.711890062746898,59.60050052147323,20,3
gnn_multiedge_season,post_covid,global,woy_cos,seasonality,off_season,24,origins,1,11.261465934046472,14.71430424982601,0.5930684644712855,3.4528383157795393,30.66064698860093,20,4
gnn_multiedge_season,post_covid,global,monthly_cases,citywide,off_season,24,origins,1,11.261465934046472,12.395538671554837,0.19463931257549374,1.1340727375083652,10.070382880436153,20,5
gnn_multiedge_season,post_covid,global,ed_count,citywide,off_season,24,origins,1,11.261465934046472,11.614785320550695,0.4377613348509993,0.35331938650422323,3.1374191297426273,20,6
gnn_multiedge_season,post_covid,global,woy_sin,seasonality,off_season,24,origins,1,11.261465934046472,11.517671982041488,0.42881659251395216,0.25620604799501656,2.2750683569572954,20,7
gnn_multiedge_season,post_covid,global,ili_ed_perc,citywide,overall,24,origins,1,24.134068599943614,28.479481023311582,2.374312079524386,4.345412423367968,18.005304018146862,20,1
