model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
dualtopo,post_covid,4,overall,pooled,992,66.11997505078806,432776.6074598352,27.2888626917716,0.4811712800878387,90.12096774193547,,,level,52.0,57,479905.0
gat,post_covid,1,flu_season,pooled,494,57.11315862147199,112.31729283718552,26.58467201981317,0.80874989498495,82.99595141700405,,,level,,59,8129.0
gat,post_covid,1,off_season,pooled,498,24.691002369815468,97.44134431437084,13.757067767416975,0.8271184607098043,89.7590361445783,,,level,,59,8129.0
gat,post_covid,1,overall,pooled,992,43.93668091458165,104.8186004185422,20.1450077882675,0.8266188383664523,86.39112903225806,,,level,,59,8129.0
gat,post_covid,2,flu_season,pooled,494,61.53000392524214,151.11133128525364,28.661578525174484,0.7665663923543741,90.2834008097166,,,level,,58,8129.0
gat,post_covid,2,off_season,pooled,498,30.563315410073784,91.21630451996622,14.34644198067576,0.734560990575619,92.1686746987952,,,level,,58,8129.0
gat,post_covid,2,overall,pooled,992,48.52091475333117,120.9193484056088,21.47514909053702,0.7806019658358261,91.22983870967742,,,level,,58,8129.0
gat,post_covid,4,flu_season,pooled,494,51.85052808591202,287.9894280413013,28.696463328141434,0.8200766692657657,90.68825910931174,,,level,,57,8129.0
gat,post_covid,4,off_season,pooled,498,38.19384050111427,872833.7573220594,17.66369299361684,0.4796610212667959,91.76706827309236,,,level,,57,8129.0
gat,post_covid,4,overall,pooled,992,45.50982430078348,440563.3768975,23.157834672301465,0.7842773490345428,91.22983870967742,,,level,,57,8129.0
gnn_st,post_covid,1,flu_season,pooled,494,29.884154067499345,72.65494436147024,13.891621190285392,0.9464476697057486,94.33198380566802,,,blend,16.0,90,15726.0
gnn_st,post_covid,1,off_season,pooled,498,12.27367841363614,51.19422941175117,6.607734172997705,0.9607581564179092,97.79116465863451,,,blend,16.0,90,15726.0
gnn_st,post_covid,1,overall,pooled,992,22.811315384976325,61.8369921317139,10.234992425558309,0.9528213050452558,96.06854838709675,,,blend,16.0,90,15726.0
