model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge,post_covid,feature,pct_elderly,demographics,off_season,24,nodes,1,13.236001799975018,13.223044909850689,0.04048200635086967,-0.01295689012432888,-0.09789126898088918,20,10
gnn_multiedge,post_covid,feature,poverty_rate,demographics,off_season,24,nodes,1,13.236001799975018,13.214360448382996,0.02246587846420583,-0.021641351592021962,-0.16350369181774219,20,11
gnn_multiedge,post_covid,feature,no_vehicle_rate,demographics,off_season,24,nodes,1,13.236001799975018,13.211548720313782,0.008819421320297508,-0.024453079661235222,-0.1847467236010906,20,12
gnn_multiedge,post_covid,feature,transit_share,demographics,off_season,24,nodes,1,13.236001799975018,13.199200188027707,0.030414316382249906,-0.03680161194731113,-0.2780417568950511,20,13
gnn_multiedge,post_covid,feature,pop_density,demographics,off_season,24,nodes,1,13.236001799975018,13.169634324403978,0.0199165836676576,-0.06636747557103995,-0.5014163383625803,20,14
gnn_multiedge,post_covid,feature,precipitation_sum_mm,weather,off_season,24,origins,1,13.236001799975018,13.108935147002182,0.274654892723426,-0.12706665297283593,-0.9600078248181846,20,15
gnn_multiedge,post_covid,feature,flu_lag4,flu_lags,off_season,24,origins,1,13.236001799975018,13.105004605968242,0.22928692398517816,-0.13099719400677579,-0.9897036581471532,20,16
gnn_multiedge,post_covid,feature,flu_lag3,flu_lags,off_season,24,origins,1,13.236001799975018,13.083816226478447,0.5397126041775769,-0.15218557349657047,-1.1497850770680442,20,17
gnn_multiedge,post_covid,feature,relative_humidity_mean,weather,off_season,24,origins,1,13.236001799975018,13.061705128914312,0.6345427320734568,-0.17429667106070568,-1.316837770912321,20,18
gnn_multiedge,post_covid,feature,wind_speed_max_kmh,weather,off_season,24,origins,1,13.236001799975018,12.948678049688818,0.7524464720297559,-0.28732375028620005,-2.1707744878573707,20,19
gnn_multiedge,post_covid,feature,flu_lag5,flu_lags,off_season,24,origins,1,13.236001799975018,12.87875776533599,0.36072219817240647,-0.3572440346390273,-2.69903283512474,20,20
gnn_multiedge,post_covid,feature,temp_max_c,weather,off_season,24,origins,1,13.236001799975018,12.776243040653723,0.427581576391558,-0.4597587593212946,-3.473547119963087,20,21
gnn_multiedge,post_covid,feature,flu_lag1,flu_lags,off_season,24,origins,1,13.236001799975018,11.812109121494858,0.451376538739161,-1.4238926784801595,-10.75772502904047,20,22
gnn_multiedge,post_covid,feature,flu_lag0,flu_lags,overall,24,origins,1,26.929649576819976,29.626454586950842,2.548970312944768,2.6968050101308663,10.014259570804716,20,1
gnn_multiedge,post_covid,feature,flu_lag2,flu_lags,overall,24,origins,1,26.929649576819976,27.94900252408008,0.4585534470083834,1.0193529472601028,3.785244009032792,20,2
gnn_multiedge,post_covid,feature,relative_humidity_mean,weather,overall,24,origins,1,26.929649576819976,27.841999269805445,1.1469940142216681,0.9123496929854689,3.3879003526684763,20,3
gnn_multiedge,post_covid,feature,flu_lag7,flu_lags,overall,24,origins,1,26.929649576819976,27.782913832574632,2.90836755409602,0.8532642557546559,3.168493720353174,20,4
gnn_multiedge,post_covid,feature,flu_lag3,flu_lags,overall,24,origins,1,26.929649576819976,27.554511965899497,0.587834176133699,0.6248623890795209,2.3203509845051187,20,5
gnn_multiedge,post_covid,feature,temp_min_c,weather,overall,24,origins,1,26.929649576819976,27.390741299816654,2.3108452252049894,0.46109172299667733,1.712208403163061,20,6
gnn_multiedge,post_covid,feature,precipitation_sum_mm,weather,overall,24,origins,1,26.929649576819976,27.212449097336645,0.6020896760990538,0.2827995205166687,1.0501418509362699,20,7
gnn_multiedge,post_covid,feature,pct_children,demographics,overall,24,nodes,1,26.929649576819976,27.09953851312299,0.06819267642428051,0.16988893630301405,0.6308620385808809,20,8
gnn_multiedge,post_covid,feature,nonwhite_share,demographics,overall,24,nodes,1,26.929649576819976,27.001528246134985,0.05986288029260565,0.07187866931500864,0.2669127539516113,20,9
gnn_multiedge,post_covid,feature,pct_elderly,demographics,overall,24,nodes,1,26.929649576819976,26.969286566369636,0.08368299017240545,0.039636989549659774,0.1471871716584749,20,10
gnn_multiedge,post_covid,feature,owner_rate,demographics,overall,24,nodes,1,26.929649576819976,26.95087862741975,0.07418698893528458,0.02122905059977498,0.0788315144585028,20,11
