model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
lstm,post_covid,off_season,pooled,ALL,2,459,8.219893576154673,68.85329598064982,5.99226330702362,0.7796338022064667,449.0,95.4248366013072,level,train,22353,,,,,,,,8.0,4.0,8.0,7.0
dualtopo,post_covid,off_season,pooled,ALL,2,459,10.066128889255328,100.85227049053168,7.512405111898784,0.776280103587123,449.0,81.91721132897604,level,train,479905,,,,,0.2400740634635755,0.8002522886170587,0.6943720183186959,9.0,6.0,9.0,8.0
gnn_st,post_covid,overall,pooled,ALL,2,901,8.51616121359022,2841561.122814858,5.811029930093577,0.9019679165809156,892.0,94.78357380688124,blend,train,15734,,,,,0.8067032107489198,0.8963659428370061,0.8924622494495087,1.0,8.0,1.0,1.0
gnn_st_v2,post_covid,overall,pooled,ALL,2,901,8.57910355407547,2816237.196650346,5.841765851543164,0.901181811855372,892.0,94.78357380688124,blend,train,15734,69b537f,,,,0.8038353661701331,0.8959973077835672,0.8899550797275431,2.0,7.0,2.0,2.0
gat,post_covid,overall,pooled,ALL,2,901,9.998191721455488,49.07644132144288,6.6764825918565975,0.8738178586996733,889.0,90.12208657047724,level,,8129,,,,,0.7335720328417576,0.8891051279958941,0.8706400190239332,3.0,1.0,3.0,3.0
xgboost,post_covid,overall,pooled,ALL,2,901,10.393824636288674,3302099.9056120976,6.876592062092106,0.8553536517888869,892.0,94.6725860155383,climatology,,,,,,,0.7120695060736015,0.8820322179026424,0.8312841646185952,4.0,9.0,4.0,4.0
lstm,post_covid,overall,pooled,ALL,2,901,10.465096663437272,54.89797980720387,7.241230811918396,0.8466312087951379,889.0,94.33962264150944,level,train,22353,,,,,,,,5.0,2.0,5.0,5.0
arima,post_covid,overall,pooled,ALL,2,901,11.432179692354222,55.377784592271105,7.489353815357737,0.8087753396967435,889.0,91.00998890122086,level,none,,,0.00014088415528574583,0.00038131109793069,28.303558083018288,,,,6.0,3.0,6.0,7.0
persistence,post_covid,overall,pooled,ALL,2,901,11.498609619658902,55.532757456931094,7.671063900925795,0.823907811226416,889.0,93.34073251942286,level,none,0,,7.84148068840472e-08,2.122342008321236e-07,0.01578966691158712,,,,7.0,4.0,7.0,6.0
dualtopo,post_covid,overall,pooled,ALL,2,901,14.169453286705684,71.55232598351503,9.476250984824857,0.6869073961632401,889.0,72.91897891231964,level,train,479905,,,,,0.4648899865226807,0.768840883296353,0.6301484378040698,8.0,6.0,9.0,9.0
