model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,2,neighborhood,Far South,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7692307692307693,1.0,0.2844036697247707,-0.15384615384615385,False
arima,post_covid,arima,2,neighborhood,Far South,flu_season,0.5,IT50,69.7066330370401,26,7.0,0.2692307692307692,2.0,1.0,5.0,18.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.25,0.4,0.23308270676691728,0.28440366972477066,0.32360209754104324,0.7692307692307693,0.42857142857142855,0.19889250518217064,0.19674556213017758,-0.010912281978551208,,,,,False
arima,post_covid,arima,2,neighborhood,Far South,flu_season,0.9,IT90,121.95949130896,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,4.782381081502623e-06,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far South,flu_season,0.98,IT98,174.42921640712913,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,2.9470628865021817e-17,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southeast,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.9056603773584906,1.0,0.0,-0.09433962264150944,False
arima,post_covid,arima,2,neighborhood,Far Southeast,overall,0.5,IT50,10.956265259525463,53,5.0,0.09433962264150944,0.0,0.0,5.0,48.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9056603773584906,0.0,0.08439782313211765,0.08543965824136704,0.012193811757839734,,,,,False
arima,post_covid,arima,2,neighborhood,Far Southeast,overall,0.9,IT90,18.40391015194404,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,0.00040953059311175986,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southeast,overall,0.98,IT98,25.644566505740826,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,7.433550148230665e-07,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southeast,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8076923076923077,1.0,0.0,-0.19230769230769232,False
arima,post_covid,arima,2,neighborhood,Far Southeast,flu_season,0.5,IT50,10.956265259525463,26,5.0,0.19230769230769232,0.0,0.0,5.0,21.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8076923076923077,0.0,0.1630507041919475,0.15532544378698226,-0.04973596222625232,,,,,False
arima,post_covid,arima,2,neighborhood,Far Southeast,flu_season,0.9,IT90,18.40391015194404,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.000821989930306458,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southeast,flu_season,0.98,IT98,25.644566505740826,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,1.5144890474397342e-06,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southwest,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.9622641509433962,1.0,0.7309644670050762,-0.03773584905660377,False
arima,post_covid,arima,2,neighborhood,Far Southwest,overall,0.5,IT50,34.041053932580134,53,5.0,0.09433962264150944,3.0,0.0,2.0,48.0,0.6,0.0,1.0,0.0,0.6,0.75,0.6,0.7309644670050761,0.7589466384404111,0.9622641509433962,0.6,0.044545596253207975,0.08543965824136704,0.4786309171864117,,,,,False
arima,post_covid,arima,2,neighborhood,Far Southwest,overall,0.9,IT90,54.68112356483704,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,0.0003838241723982858,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southwest,overall,0.98,IT98,74.04650918881951,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,5.825805026755461e-08,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southwest,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.9230769230769231,1.0,0.7078651685393258,-0.07692307692307693,False
arima,post_covid,arima,2,neighborhood,Far Southwest,flu_season,0.5,IT50,34.041053932580134,26,5.0,0.19230769230769232,3.0,0.0,2.0,21.0,0.6,0.0,1.0,0.0,0.6,0.75,0.6,0.7078651685393258,0.7401527456927535,0.9230769230769231,0.6,0.09076269298201955,0.15532544378698226,0.4156611385157599,,,,,False
arima,post_covid,arima,2,neighborhood,Far Southwest,flu_season,0.9,IT90,54.68112356483704,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0007824108128094251,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Far Southwest,flu_season,0.98,IT98,74.04650918881951,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,1.18756794776169e-07,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Hilliard,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8490566037735849,1.0,0.0,-0.1509433962264151,False
