date,site,eff,smooth,site_latest_val,site_latest_lab
2025-05-08,East Boston,11.909876242117845,5.290692763143573,NA,NA
2025-05-12,East Boston,19.536984857229275,2.682956831693952,NA,NA
2025-05-15,East Boston,0,2.7459982862171852,NA,NA
2025-05-19,East Boston,4.3472925428316485,5.891133872287429,NA,NA
2025-05-22,East Boston,0,10.492078764157563,NA,NA
2025-05-27,East Boston,29.884683306941078,18.609802861545873,NA,NA
2025-05-29,East Boston,3.4241524031771164,20.597969780265103,NA,NA
2025-06-02,East Boston,29.01617693401717,20.987777571965566,NA,NA
2025-06-05,East Boston,19.827196466179515,19.626785940169096,NA,NA
2025-06-09,East Boston,37.548893596324596,18.47028421137014,NA,NA
2025-06-12,East Boston,0,20.048307623394503,NA,NA
2025-06-16,East Boston,46.93417939114169,26.91641657219654,NA,NA
2025-06-20,East Boston,8.852333224216428,35.89953988462493,NA,NA
2025-06-23,East Boston,42.68229237328618,41.26642179798211,NA,NA
2025-06-26,East Boston,10.094561792498633,43.71532082861598,NA,NA
2025-06-30,East Boston,113.47371034499551,42.67783717104788,NA,NA
2025-07-06,East Boston,18.209279479138786,34.320025191087716,NA,NA
2025-07-09,East Boston,7.802417409941215,28.168706494615716,NA,NA
2025-07-13,East Boston,23.538454557541197,19.89160337083358,NA,NA
2025-07-16,East Boston,25.64704081731134,16.684584709713192,NA,NA
2025-07-20,East Boston,16.382120681707065,21.414388725076478,NA,NA
2025-07-23,East Boston,16.58766012473562,33.84599821755603,NA,NA
2025-07-27,East Boston,8.533996444246696,55.68239888267506,NA,NA
2025-07-30,East Boston,206.66046337153497,69.44314673066569,NA,NA
2025-08-03,East Boston,31.402500674589334,74.67744962961314,NA,NA
2025-08-06,East Boston,21.943438103710935,64.44331161189035,NA,NA
2025-08-10,East Boston,20.808110211170558,42.512808854721044,NA,NA
2025-08-13,East Boston,43.353843654645615,30.69094238324757,NA,NA
2025-08-17,East Boston,63.010520941602934,31.629512115927326,NA,NA
2025-08-20,East Boston,55.301244813274366,40.35770610581425,NA,NA
2025-08-24,East Boston,44.78822167264092,52.77232894272139,NA,NA
2025-08-27,East Boston,26.96058197572508,55.9010750694826,NA,NA
2025-09-01,East Boston,8.4454360752397,43.16785094181929,NA,NA
2025-09-03,East Boston,98.01409011497613,36.51779242498178,NA,NA
2025-09-07,East Boston,50.49154493862401,31.666326883383395,NA,NA
2025-09-11,East Boston,6.8561440771957125,46.31024551411844,NA,NA
2025-09-14,East Boston,6.88174490820844,64.3252629347124,NA,NA
2025-09-17,East Boston,193.02155311528557,81.19592436839267,NA,NA
2025-09-20,East Boston,26.965976164140383,90.4675631959781,NA,NA
2025-09-24,East Boston,123.5089476886226,84.08062236907287,NA,NA
2025-09-28,East Boston,23.00893704636272,62.77613350325039,NA,NA
2025-10-01,East Boston,49.14492409734223,43.06392832710426,NA,NA
2025-10-05,East Boston,26.916217475463238,19.153029337250587,NA,NA
2025-10-08,East Boston,13.375006910833992,6.434229182177116,NA,NA
2025-10-12,East Boston,7.488388496609832,1.0189113969760788,NA,NA
2025-10-15,East Boston,2.3336922546202814,7.538484830021217,NA,NA
2025-10-19,East Boston,35.98247860039579,24.029500670711506,NA,NA
2025-10-22,East Boston,1.4828394327407841,35.99488990114525,NA,NA
2025-10-26,East Boston,0.3421369362419845,42.24262239852639,NA,NA
2025-10-29,East Boston,127.84378355866676,35.33804944790233,NA,NA
2025-11-02,East Boston,1.0734665053637777,19.048054510808537,NA,NA
2025-11-05,East Boston,0,10.361018868307667,NA,NA
2025-11-09,East Boston,0.6392328502531728,12.436824676438986,NA,NA
2025-11-12,East Boston,1.9416037618320177,21.588961713358323,NA,NA
2025-11-16,East Boston,46.46917042545037,37.547439080993065,NA,NA
