model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
xgboost,post_covid,off_season,pooled,ALL,2,498,34.041364103041786,115.0922788568966,14.101878175287752,0.6121531932579822,494.0,95.58232931726909,climatology,,,,0.3565432780622446,0.8419858913780341,0.5116008401728198,5.0,5.0,4.0,6.0
seasonal_naive,post_covid,off_season,pooled,ALL,2,498,34.92006500039078,117.71682173728,17.119802204032155,0.615149630084012,494.0,96.78714859437753,level,none,0,,,,,6.0,6.0,8.0,5.0
xgboost_nodemo,post_covid,off_season,pooled,ALL,2,498,35.35960356221652,125.10501789294588,15.038168353575516,0.5648754397675956,494.0,94.97991967871486,climatology,,,,0.3057430963408819,0.8248014341555996,0.4743374882884687,7.0,8.0,6.0,7.0
lstm,post_covid,off_season,pooled,ALL,2,498,36.281675270406794,119.77130849343489,16.56058088431156,0.5407251556584247,494.0,95.38152610441767,level,train,22995,,,,,8.0,7.0,7.0,8.0
dualtopo,post_covid,off_season,pooled,ALL,2,498,40.75973537078917,160.80262265572424,19.261567341275963,0.4019473116998954,494.0,82.1285140562249,level,train,479905,,0.0774962370009489,0.6062757775307968,0.3712432540528064,9.0,9.0,9.0,9.0
persistence,post_covid,overall,pooled,ALL,2,992,27.206003839388863,48.11678824678782,12.983882912336892,0.930980912093767,980.0,93.14516129032258,level,none,0,,,,,1.0,1.0,2.0,2.0
gnn_st,post_covid,overall,pooled,ALL,2,992,27.219883397275225,65.1713276161647,12.170922851460356,0.9339287242956424,980.0,93.44758064516128,blend,train,15726,,0.8619033677689938,0.9388293757329994,0.9193294734044282,2.0,2.0,1.0,1.0
arima,post_covid,overall,pooled,ALL,2,992,31.056555675456423,79.09534650252817,17.3576959915733,0.9072388725402863,980.0,85.28225806451613,level,none,,,,,,3.0,3.0,3.0,3.0
gat,post_covid,overall,pooled,ALL,2,992,48.52091475333117,120.9193484056088,21.47514909053702,0.7806019658358261,980.0,91.22983870967742,level,,8129,,0.5611980893760713,0.8448809721913989,0.6864269633092817,4.0,6.0,4.0,4.0
xgboost,post_covid,overall,pooled,ALL,2,992,53.02968116370461,110.79479250431316,21.85733689840295,0.7053772262162119,980.0,93.34677419354838,climatology,,,,0.4758584380764413,0.8628069439187488,0.6230190502226371,5.0,4.0,5.0,5.0
xgboost_nodemo,post_covid,overall,pooled,ALL,2,992,53.680220188928594,135.7006799317129,22.450153606732783,0.693765324392485,980.0,93.04435483870968,climatology,,,,0.4629197977711444,0.8511130909600213,0.6130099909673852,6.0,7.0,6.0,6.0
seasonal_naive,post_covid,overall,pooled,ALL,2,992,57.41596189585695,118.55880616605964,25.476151058229455,0.645027520348896,980.0,94.45564516129032,level,none,0,,,,,7.0,5.0,7.0,7.0
dualtopo,post_covid,overall,pooled,ALL,2,992,59.89365833466823,186.9883382129186,25.531545133840652,0.5912629579926615,980.0,82.76209677419355,level,train,479905,,0.3313909792817359,0.6721941971753884,0.516388856660352,8.0,9.0,8.0,8.0
lstm,post_covid,overall,pooled,ALL,2,992,63.90007763179739,144.8558418926611,26.002320888408377,0.5122422155060153,980.0,93.24596774193547,level,train,22995,,,,,9.0,8.0,9.0,9.0
