model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_geo,post_covid,flu_season,pooled,ALL,1,352,36.685122650649234,125.47371398238884,23.557322825897824,0.8269061503886908,352.0,83.80681818181817,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,0.0733771237450516,0.7658740880314945,0.7179917039033279,18.0,18.0,18.0,15.0
seasonal_naive,exclude_covid,flu_season,pooled,ALL,1,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,91.19318181818184,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,,,,19.0,19.0,19.0,19.0
seasonal_naive,post_covid,flu_season,pooled,ALL,1,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,352.0,95.45454545454544,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,,,,19.0,19.0,19.0,19.0
lstm,exclude_covid,off_season,pooled,ALL,1,262,5.948602778643881,83.14629423899684,4.358083755915402,0.7972805039841565,262.0,99.61832061068702,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,,,,1.0,3.0,1.0,1.0
lstm,post_covid,off_season,pooled,ALL,1,262,6.548245380196938,88.17475222649146,4.718931594877753,0.7826524101288941,262.0,99.61832061068702,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,,,,2.0,4.0,2.0,2.0
seasonal_naive,exclude_covid,off_season,pooled,ALL,1,262,6.775258086405608,94.88643796902367,4.986641221374045,0.713997838746384,262.0,99.61832061068702,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,,,,3.0,5.0,5.0,6.0
seasonal_naive,post_covid,off_season,pooled,ALL,1,262,6.775258086405608,94.88643796902367,4.986641221374045,0.713997838746384,262.0,100.0,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,,,,3.0,5.0,5.0,6.0
persistence,exclude_covid,off_season,pooled,ALL,1,262,7.178847347356066,75.01344244250406,4.982251908396947,0.6814235053585368,262.0,97.70992366412212,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,,,,5.0,1.0,3.0,15.0
persistence,post_covid,off_season,pooled,ALL,1,262,7.178847347356066,75.01344244250406,4.982251908396947,0.6814235053585368,262.0,98.09160305343512,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,,,,5.0,1.0,3.0,15.0
arima,post_covid,off_season,pooled,ALL,1,262,8.012105529568109,107.08386241161358,5.851486409723362,0.6544411854096445,262.0,99.23664122137404,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,,,,7.0,8.0,8.0,18.0
arima,exclude_covid,off_season,pooled,ALL,1,262,8.516883557488633,114.8064716839828,5.758812569981392,0.6637830117341665,262.0,98.85496183206108,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,,,,8.0,12.0,7.0,17.0
dualtopo_fullhistory,full,off_season,pooled,ALL,1,275,8.59040516353067,123.99005652070588,6.252267409237948,0.7395159480042609,275.0,97.45454545454544,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,-0.0163993265885438,0.6958094602531076,0.6349173297450651,9.0,14.0,9.0,3.0
gnn_multiedge_covid_rsv,post_covid,off_season,pooled,ALL,1,262,11.895085211084732,112.23659237302448,7.445554021660608,0.7226382229356214,262.0,96.18320610687024,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,-1.0001617011414825,0.608833979139174,0.5666645347717936,10.0,11.0,10.0,4.0
gnn_multiedge_covid_rsv_full,full,off_season,pooled,ALL,1,262,12.719587456626137,98.96476415461709,7.521130045406691,0.721164806738172,262.0,92.36641221374046,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,-1.287052005026711,0.5885604988802599,0.5550286468124948,11.0,7.0,11.0,5.0
gnn_multiedge_leaknorm,post_covid,off_season,pooled,ALL,1,262,14.696203894071877,110.1868700723136,8.556583139732593,0.7092063366887496,262.0,95.0381679389313,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,-2.053095064927765,0.5732416696502483,0.5040601630322749,12.0,9.0,12.0,8.0
gnn_multiedge_full,full,off_season,pooled,ALL,1,262,16.505473317119062,110.43839200254276,9.17715003654247,0.7056977169633352,262.0,90.45801526717555,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,-2.8511102714044414,0.564803012488323,0.4704545552990897,13.0,10.0,13.0,9.0
gnn_multiedge_rt,post_covid,off_season,pooled,ALL,1,262,17.848729102532346,118.22295136975951,9.767108919966311,0.7025893848096878,262.0,93.51145038167938,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,-3.50344215227521,0.5810165507668489,0.4437637722094405,14.0,13.0,14.0,10.0
gnn_multiedge,post_covid,off_season,pooled,ALL,1,262,20.87609936820054,129.82000299467643,11.059469431866216,0.6965199642110093,262.0,88.93129770992367,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,-5.16068073632651,0.5615959740413707,0.3958586370997128,15.0,15.0,15.0,11.0
dualtopo,post_covid,off_season,pooled,ALL,1,275,21.9500018548701,331.7612398626327,17.22991453344172,0.598798931934519,275.0,91.27272727272728,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,-5.63599714491851,0.6357474269998584,0.2636478461765403,16.0,19.0,19.0,19.0
dualtopo_no_bg,post_covid,off_season,pooled,ALL,1,275,22.294193874199703,337.42980003578964,17.508259873823686,0.5925676259900176,275.0,91.27272727272728,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,-5.845743377620012,0.6319231744466196,0.2573899445044992,17.0,20.0,20.0,20.0
gnn_corrbinary,post_covid,off_season,pooled,ALL,1,262,27.994403890261975,146.735796867201,13.750387648589738,0.6816476552505457,262.0,87.02290076335878,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,-10.078282623978746,0.5497683696312906,0.3135750453372298,18.0,17.0,17.0,14.0
gnn_uniform,post_covid,off_season,pooled,ALL,1,262,28.01687980788827,146.70459434576318,13.744608947793946,0.6879449996147666,262.0,85.1145038167939,delta,train,4834,5bc3803,2.063400057486323e-05,5.5847113523486776e-05,4.145388584001921,-10.096078646643347,0.5565037371804684,0.3156150565571984,19.0,16.0,16.0,13.0
gnn_geo,post_covid,off_season,pooled,ALL,1,262,29.547307442700028,159.68346018149572,14.40220239326244,0.6922872751846214,262.0,86.64122137404581,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,-11.341439381269469,0.6000723951929189,0.3015727307980045,20.0,18.0,18.0,12.0
arima,exclude_covid,overall,pooled,ALL,1,614,15.2673968443181,85.37409792788891,8.785094131948645,0.8753349420202906,614.0,95.76547231270358,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,,,,1.0,6.0,3.0,3.0
arima,post_covid,overall,pooled,ALL,1,614,15.590264501719078,82.4370956805015,9.112133955892906,0.8718556914979984,614.0,96.4169381107492,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,,,,2.0,5.0,6.0,4.0
lstm,exclude_covid,overall,pooled,ALL,1,614,15.936092703531024,65.15239568784088,8.245675363602778,0.8709166056363604,614.0,94.29967426710095,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,,,,3.0,1.0,1.0,5.0
