model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_corrbinary,post_covid,East Boston,96.0,94.44444444444444,95.34883720930232,0.7491422339125613,0.6478010381323095,0.7429650273669669,12.948632154464722,8.02179025941425,10.886233221652896,214.82523753804423,140.69213902765787,183.79277769648712,16.125764481818454,14.099631214993067,15.310279120581932,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,17.333333333333332
gnn_geo,post_covid,East Boston,96.0,88.88888888888889,93.02325581395348,0.7325820634666181,0.637027018632393,0.7406603528178749,15.38316731452942,8.30624673101637,12.420735442361169,235.11325207257428,147.8314288789605,198.5766749217592,19.060788028763703,14.78547890443336,17.399430599303123,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,18.666666666666668
seasonal_naive,exclude_covid,East Boston,96.0,100.0,97.67441860465117,0.1024809041368482,0.3509716312383372,0.3042379056274686,16.724,3.2777777777777777,11.095348837209302,164.5230675906358,114.17342114150624,143.44647140262808,24.457873987736544,3.7731507611897337,18.808057402502097,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,14.0
seasonal_naive,post_covid,East Boston,100.0,100.0,100.0,0.1024809041368482,0.3509716312383372,0.3042379056274686,16.724,3.2777777777777777,11.095348837209302,164.5230675906358,114.17342114150624,143.44647140262808,24.457873987736544,3.7731507611897337,18.808057402502097,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,14.0
lstm,post_covid,Fenway,100.0,100.0,100.0,0.6690004454817003,0.4299670457537905,0.7404734504202567,3.040725589752197,1.8521444545072667,2.5596332254863925,39.149418969385806,107.5684173406216,66.84282307202885,4.3362383425108035,2.356094515092312,3.665944162361952,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,2.0
arima,exclude_covid,Fenway,100.0,100.0,100.0,0.6268402676759538,0.173765543034564,0.710872210987799,3.041201673106362,2.4638098778793545,2.8074954702763826,43.26885549531012,152.91702837429654,87.65025880347129,4.3098607624530265,3.2013528979895147,3.8993275403471945,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,4.0
arima,post_covid,Fenway,100.0,100.0,100.0,0.6268785784684576,0.1674721144289855,0.7089741900802959,3.030984955759112,2.6089295664882024,2.860153012482791,43.92115422948523,160.5091553986307,91.11153565509174,4.275762599145815,3.319463211596251,3.916916478344589,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,4.333333333333333
persistence,exclude_covid,Fenway,100.0,100.0,100.0,0.6254396974231744,0.2113088511753128,0.7196828311659799,3.276,2.041176470588235,2.7761904761904765,43.02436668159757,106.2898804375666,68.63183653520407,4.782927973532531,2.6962937525425525,4.069339480741784,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,3.6666666666666665
persistence,post_covid,Fenway,100.0,100.0,100.0,0.6254396974231744,0.2113088511753128,0.7196828311659799,3.276,2.041176470588235,2.7761904761904765,43.02436668159757,106.2898804375666,68.63183653520407,4.782927973532531,2.6962937525425525,4.069339480741784,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,3.6666666666666665
lstm,exclude_covid,Fenway,96.0,100.0,97.61904761904762,0.607582368793598,0.5047433564969402,0.6900768330999764,3.580789077758789,1.688191458758186,2.8147376605442593,42.8115410429371,97.22456138933752,64.83585880219442,5.205029568686294,2.0649717664965235,4.225202624083866,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,4.333333333333333
gnn_multiedge_covid_rsv,post_covid,Fenway,100.0,100.0,100.0,0.5896247129473218,0.2769752318549405,0.6871053892410633,4.315332670211792,2.707634729497573,3.6645977894465127,54.66755172246629,146.77866413427935,91.95062103200966,5.320243889007924,3.790633850309216,4.760692878603025,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,8.0
