model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
seasonal_naive,post_covid,Dublin,100.0,92.5925925925926,96.22641509433964,0.478536023564598,0.4940758575950877,0.6319926900369003,3.751773299098401,1.834634512579948,2.7751176908720208,57.24665857018798,51.72161172161173,54.48413514589985,4.582233535193463,2.342006924069727,3.618645040181206,level,none,0,,5.333333333333333
dualtopo,post_covid,Dublin,73.07692307692307,92.5925925925926,83.01886792452831,0.5240160578538664,0.2490611507875393,0.6392555177892776,3.5723025615398702,1.9434833526611328,2.742526738148815,44.315526989913685,72.41923825935778,58.36738262463573,4.549027189218516,2.4310219039410277,3.6279868111651816,level,train,479905,,6.0
persistence,post_covid,Dublin,100.0,96.29629629629628,98.1132075471698,-0.0153399372171103,0.1901255661086835,0.3610466994025879,3.92763767249364,2.568488317611927,3.2352408313274847,74.56468776321718,100.73260073260076,87.64864424790895,4.902520611786447,2.944222366291336,4.025743670458067,level,none,0,,8.0
xgboost,post_covid,Eastside,96.15384615384616,81.48148148148148,88.67924528301887,0.755256798266434,0.5331740253018932,0.8116318526059914,9.841696933354289,8.701462079467227,9.260822573826918,19.560107845876967,45.77194174719778,32.913306248436626,14.513391040245947,11.317748603538863,12.984076030867058,climatology,,,,2.6666666666666665
gnn_st,post_covid,Eastside,92.3076923076923,77.77777777777779,84.90566037735849,0.6335801611632426,0.3682082007383738,0.7560896560644897,10.03044055058406,8.682912402682835,9.343963946936263,21.141804027825177,51.089032172291816,36.397939120289315,15.13988172503676,11.0558915911351,13.217984057232089,blend,train,15734,,2.6666666666666665
dualtopo,post_covid,Eastside,76.92307692307693,55.55555555555556,66.0377358490566,0.7061761306658275,0.0638505764205251,0.7579545988900861,11.389573757465069,8.617710890593353,9.97749267434174,24.003539028117785,67.26366987850638,46.04171889529687,15.830587996216618,10.756381528626871,13.486323261390508,level,train,479905,,3.0
arima,post_covid,Eastside,84.61538461538461,100.0,92.45283018867924,0.2075950791091974,0.1678106676919561,0.5053308266915147,14.360600650589008,9.28696142815996,11.775916518408176,29.239926205449382,79.31329261086343,54.748999657264086,20.904507005662015,11.222958259612822,16.689584441797084,level,none,,,4.666666666666667
lstm,post_covid,Eastside,92.3076923076923,92.5925925925926,92.45283018867924,0.2689607970991259,-0.1329037734181999,0.4466032348073794,13.304453941773865,13.239761772120277,13.271497553459778,29.76251687469586,101.65702472394668,66.3880208733708,18.89891310419955,16.009490057673897,17.486703126815307,level,train,22353,,5.666666666666667
persistence,post_covid,Eastside,96.15384615384616,88.88888888888889,92.45283018867924,0.2075950791091975,0.1678106676919563,0.5053308266915149,18.471154067100663,10.723285614712347,14.524126742299067,44.43965643607198,68.52801519468184,56.71108448291097,23.593313386051904,13.354776667787014,19.07690837937495,level,none,0,,6.333333333333333
seasonal_naive,post_covid,Eastside,100.0,100.0,100.0,0.4262461545706366,0.6246278003792555,0.627777240457106,17.85250297394418,7.148857076474898,12.399702233723982,42.02707819241888,48.21903405236739,45.18147080031717,27.21089025662239,8.77783314959294,20.061982182661257,level,none,0,,5.333333333333333
gat,post_covid,Eastside,69.23076923076923,88.88888888888889,79.24528301886792,0.231805281717898,0.4598805737703474,0.5225299044411847,21.021518780634953,7.978488427621347,14.376956147967643,46.50022129889814,57.04717762203991,51.87319904842319,27.06610026385962,9.808501577396642,20.20858184835971,level,,8129,,5.666666666666667
xgboost,post_covid,Far East,88.46153846153845,92.5925925925926,90.56603773584906,0.7028083087901384,0.7888054593947952,0.8118619053218449,14.624856327949267,8.530827594187151,11.520351123957242,22.237138687285334,24.574089735503755,23.427660919396605,20.0732307383608,10.833418161536024,16.04539493322944,climatology,,,,2.3333333333333335
dualtopo,post_covid,Far East,65.38461538461539,74.07407407407408,69.81132075471697,0.6907582966860013,0.3328674940920954,0.7787201436840678,15.205890875596266,9.56228150261773,12.33084459124871,22.322232888487115,38.42043682250712,30.523204703931263,20.61083935653729,11.092057776835032,16.46430404540243,level,train,479905,,3.3333333333333335
gnn_st,post_covid,Far East,88.46153846153845,96.29629629629628,92.45283018867924,0.5233025562922321,0.6628842820033884,0.7565451437331103,16.374807431147648,6.757929342764395,11.475643121971274,25.54969500877864,21.16424291049649,23.31559677003113,21.708730618420013,9.55485581691246,16.664257249583052,blend,train,15734,,2.6666666666666665
lstm,post_covid,Far East,88.46153846153845,100.0,94.33962264150944,0.1698117199808417,0.1822871585916126,0.4643816143780183,18.980583725664612,13.679269835550675,16.279914385417886,28.49907280226556,54.04263348318344,41.51183013028034,26.86211538940684,15.49764188666575,21.825068126422057,level,train,22353,,5.333333333333333
arima,post_covid,Far East,84.61538461538461,100.0,92.45283018867924,0.0962281897137598,0.5963444454338082,0.532613934796127,22.961476679826372,7.3408008642359555,15.003773905846348,33.64384059222064,24.604782922074897,29.039037628184133,29.90211982167884,9.593935184919715,22.03459244715895,level,none,,,4.333333333333333
seasonal_naive,post_covid,Far East,96.15384615384616,100.0,98.1132075471698,0.3515302736900443,0.6971738312525148,0.647984074926679,22.764015489637668,7.144754721455212,14.807033588865472,39.4702362693048,23.76600628515749,31.469968164173157,35.220583351633216,8.676928371492155,25.43416662954487,level,none,0,,4.666666666666667
persistence,post_covid,Far East,88.46153846153845,96.29629629629628,92.45283018867924,0.0813054125756832,0.401293462267378,0.4502098567309374,26.209628328634285,11.21483171448233,18.57076967614178,42.56403845573358,37.95606446848333,40.21658000939855,33.905561781330185,13.90094466471948,25.73692897845596,level,none,0,,6.666666666666667
gat,post_covid,Far East,69.23076923076923,96.29629629629628,83.01886792452831,0.1933574669875097,0.4489376687243306,0.5138349002826953,26.453174737783577,8.61475654884621,17.365678679268314,39.00975041092949,34.344464608323364,36.63309537941315,35.753691005474984,10.308656615645464,26.10057968210105,level,,8129,,6.666666666666667
gnn_st,post_covid,Far South,76.92307692307693,88.88888888888889,83.01886792452831,0.463258543306265,0.5658579787343972,0.7869592324331615,13.68249379671537,8.3090238571167,10.94506571427831,21.41126676190452,32.47153578690139,26.941401274402953,18.582312096803378,10.295264895156569,14.946228990225164,blend,train,15734,,1.0
