model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,4,Far South,2025-26,0.5,IT50,69.7066330370401,44,2025-12-14,2026-02-15,9.0,-9.0,2026-02-15,2026-01-18,2026-02-15,4.0,100.40589617603077,71.66300029581711,-28.742895880213652,arima
arima,post_covid,4,Far South,2025-26,0.9,IT90,121.95949130896,44,,,,,,2026-01-18,2026-02-15,4.0,100.40589617603077,71.66300029581711,-28.742895880213652,arima
arima,post_covid,4,Far South,2025-26,0.98,IT98,174.42921640712913,44,,,,,,2026-01-18,2026-02-15,4.0,100.40589617603077,71.66300029581711,-28.742895880213652,arima
arima,post_covid,4,Far Southeast,2024-25,0.5,IT50,10.956265259525463,9,,,,,,2025-06-01,2025-06-22,3.0,6.616319624949195,6.609256951831151,-0.007062673118044316,arima
arima,post_covid,4,Far Southeast,2024-25,0.9,IT90,18.40391015194404,9,,,,,,2025-06-01,2025-06-22,3.0,6.616319624949195,6.609256951831151,-0.007062673118044316,arima
arima,post_covid,4,Far Southeast,2024-25,0.98,IT98,25.644566505740826,9,,,,,,2025-06-01,2025-06-22,3.0,6.616319624949195,6.609256951831151,-0.007062673118044316,arima
arima,post_covid,4,Far Southeast,2025-26,0.5,IT50,10.956265259525463,44,2025-12-07,,,,,2025-12-21,2026-01-25,5.0,14.177827767748276,8.617369239819713,-5.560458527928564,arima
arima,post_covid,4,Far Southeast,2025-26,0.9,IT90,18.40391015194404,44,,,,,,2025-12-21,2026-01-25,5.0,14.177827767748276,8.617369239819713,-5.560458527928564,arima
arima,post_covid,4,Far Southeast,2025-26,0.98,IT98,25.644566505740826,44,,,,,,2025-12-21,2026-01-25,5.0,14.177827767748276,8.617369239819713,-5.560458527928564,arima
arima,post_covid,4,Far Southwest,2024-25,0.5,IT50,34.041053932580134,9,,,,,,2025-07-06,2025-06-01,-5.0,13.571495683220412,17.246881937744433,3.675386254524021,arima
