indicator,level,label,threshold,band_at_or_above,reference_seasons,values_per_season,n_pooled,geometric_mean,log_sd,use_t,fitted_through,underpowered
GENERAL SAN MARTÍN,0.98,IT98,157.08069982681235,very high,2022-23 2023-24 2024-25,10,30,77.94711365203958,0.32057217460027215,True,2024-11-03,False
JOSÉ C. PAZ,0.5,IT50,222.17859568980776,moderate,2022-23 2023-24 2024-25,10,30,222.17859568980776,0.35341141730197534,True,2024-11-03,False
JOSÉ C. PAZ,0.9,IT90,355.8888420506266,high,2022-23 2023-24 2024-25,10,30,222.17859568980776,0.35341141730197534,True,2024-11-03,False
JOSÉ C. PAZ,0.98,IT98,481.06046989083103,very high,2022-23 2023-24 2024-25,10,30,222.17859568980776,0.35341141730197534,True,2024-11-03,False
LA MATANZA,0.5,IT50,24.512107570850826,moderate,2022-23 2023-24 2024-25,10,30,24.512107570850826,0.5203917738007214,True,2024-11-03,False
LA MATANZA,0.9,IT90,49.0533041651205,high,2022-23 2023-24 2024-25,10,30,24.512107570850826,0.5203917738007214,True,2024-11-03,False
LA MATANZA,0.98,IT98,76.45298521130762,very high,2022-23 2023-24 2024-25,10,30,24.512107570850826,0.5203917738007214,True,2024-11-03,False
LANÚS,0.5,IT50,132.6029855198303,moderate,2022-23 2023-24 2024-25,10,30,132.6029855198303,0.2717251280738931,True,2024-11-03,False
LANÚS,0.9,IT90,190.48996986250967,high,2022-23 2023-24 2024-25,10,30,132.6029855198303,0.2717251280738931,True,2024-11-03,False
LANÚS,0.98,IT98,240.1624128185746,very high,2022-23 2023-24 2024-25,10,30,132.6029855198303,0.2717251280738931,True,2024-11-03,False
LOMAS DE ZAMORA,0.5,IT50,8.281330480989212,moderate,2022-23 2023-24 2024-25,10,30,8.281330480989212,0.35436277152599366,True,2024-11-03,False
LOMAS DE ZAMORA,0.9,IT90,13.281987582112178,high,2022-23 2023-24 2024-25,10,30,8.281330480989212,0.35436277152599366,True,2024-11-03,False
LOMAS DE ZAMORA,0.98,IT98,17.968039817353144,very high,2022-23 2023-24 2024-25,10,30,8.281330480989212,0.35436277152599366,True,2024-11-03,False
MALVINAS ARGENTINAS,0.5,IT50,19.75908456675979,moderate,2022-23 2023-24 2024-25,10,30,19.75908456675979,1.0081781915073345,True,2024-11-03,False
MALVINAS ARGENTINAS,0.9,IT90,75.76432319476002,high,2022-23 2023-24 2024-25,10,30,19.75908456675979,1.0081781915073345,True,2024-11-03,False
MALVINAS ARGENTINAS,0.98,IT98,178.99536057166898,very high,2022-23 2023-24 2024-25,10,30,19.75908456675979,1.0081781915073345,True,2024-11-03,False
MERLO,0.5,IT50,93.32449393075508,moderate,2022-23 2023-24 2024-25,10,30,93.32449393075508,0.4252694952578525,True,2024-11-03,False
MERLO,0.9,IT90,164.5170716895135,high,2022-23 2023-24 2024-25,10,30,93.32449393075508,0.4252694952578525,True,2024-11-03,False
MERLO,0.98,IT98,236.4333757518645,very high,2022-23 2023-24 2024-25,10,30,93.32449393075508,0.4252694952578525,True,2024-11-03,False
MORENO,0.5,IT50,101.79720605127496,moderate,2022-23 2023-24 2024-25,10,30,101.79720605127496,0.5589737126133718,True,2024-11-03,False
MORENO,0.9,IT90,214.46725243408844,high,2022-23 2023-24 2024-25,10,30,101.79720605127496,0.5589737126133718,True,2024-11-03,False
MORENO,0.98,IT98,345.44262322711484,very high,2022-23 2023-24 2024-25,10,30,101.79720605127496,0.5589737126133718,True,2024-11-03,False
