model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
persistence,post_covid,LANÚS,100.0,96.29629629629628,98.1132075471698,0.7075128624239568,0.8084156888977276,0.8871628653322492,18.285755071607955,7.459325598277659,12.770404207835917,18.084384626677227,17.62752981364025,17.851647269092354,22.05124144036944,10.396497514958956,17.134893127061765,level,none,0,,3.6666666666666665
xgboost_nodemo,post_covid,LANÚS,100.0,100.0,100.0,0.8047908063397747,0.7949560369056203,0.9057737449445828,14.654891088856324,11.220049188128074,12.905065969617402,15.647031074039456,22.314364244299615,19.043597028700297,19.473988598568273,15.802301209278118,17.698942280038256,climatology,,,,5.0
arima,post_covid,LANÚS,96.15384615384616,96.29629629629628,96.22641509433964,0.7016156692101582,0.7880644199085685,0.8797980774915174,18.829303789014755,8.357314849295067,13.494516970666991,18.924288316902143,21.85107667754097,20.415293708170974,23.005758432439073,11.024206647978218,17.931885018725048,level,none,,,5.0
gat,post_covid,LANÚS,92.3076923076923,100.0,96.22641509433964,0.6736265981671625,0.8550611665200717,0.8928501674844134,22.173545984121468,7.513245900472005,14.70509122452646,20.131278663718085,18.805145402047412,19.45570134173491,29.383329817857824,8.520000540375976,21.459845301551873,level,,8129,,5.0
lstm,post_covid,LANÚS,100.0,100.0,100.0,-0.0408804528905725,0.9363147836818376,0.7979055237569419,22.759419862679252,6.714660301098783,14.585674425647692,22.01692793406963,17.103385933889065,19.51380276416632,30.443409382314904,7.873033133915388,22.050720312946268,level,train,22995,,5.666666666666667
seasonal_naive,post_covid,LANÚS,100.0,100.0,100.0,0.7194682905231198,0.468212413765175,0.8200039585568065,23.213653497198603,10.277649909359964,16.623613933582693,22.776119093614493,23.12550603999136,22.95410867007063,28.79403886055251,15.55332102921302,23.020896982466077,level,none,0,,7.0
dualtopo,post_covid,LANÚS,96.15384615384616,100.0,98.1132075471698,0.7490035469222794,0.428163403940911,0.8474051817186153,24.19859739450308,13.233866232412833,18.612790953438235,25.51808591501368,41.63096484684139,33.726533672737226,30.0617241952371,17.105103642834806,24.338870304639126,level,train,479905,,8.666666666666666
persistence,post_covid,LOMAS DE ZAMORA,88.46153846153845,93.33333333333331,90.2439024390244,0.0176312114646052,-0.0223661025178385,0.008410857652606,0.5458855823819327,0.444135480631831,0.5086599354001882,125.79694460129242,105.03401360544215,117.94070044070044,0.6709332604704665,0.531470240780245,0.6235392039363562,level,none,0,,1.0
arima,post_covid,LOMAS DE ZAMORA,88.46153846153845,93.33333333333331,90.2439024390244,-0.068365876904384,-0.0460617025931539,-0.0634308519965594,0.5793071486502144,0.4731008380643418,0.5404511813627,129.0578141665098,112.1768707482993,122.67043017043017,0.6922380142645912,0.54318090522671,0.641733791309769,level,none,,,2.0
gnn_st,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,0.0849729423174386,0.0489838552459824,0.0807584786855424,1.1440083201114948,0.6051270067691803,0.946856620108209,399.9961085452712,191.27587298255855,321.02088427829887,1.3393313764893613,0.6892644618109266,1.1451414271161664,blend,train,15726,,3.0
