model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_st,post_covid,Far Southwest,96.15384615384616,96.29629629629628,96.22641509433964,0.8307925969140408,0.4827234313062367,0.8607618170005846,4.4916163224440355,3.048975379378707,3.756686030693774,25.283915520420656,24.46045069990379,24.864414574119607,6.400748138972233,4.343105557651281,5.45046003614029,blend,train,15734,,,,,2.0
arima,post_covid,Far Southwest,96.15384615384616,96.29629629629628,96.22641509433964,0.8054150714543055,0.2779706362470537,0.8337279617182501,5.099592332966453,3.677983526146612,4.375376525718609,25.88399160900131,32.073711661065936,29.037245220430457,6.786926721974602,4.820950928717715,5.868277470108323,level,none,,,,,,3.6666666666666665
persistence,post_covid,Far Southwest,100.0,96.29629629629628,98.1132075471698,0.8054150714543056,0.2779706362470537,0.8337279617182503,5.340263094284954,3.750527297072307,4.530397688157758,28.26720745956242,30.509801261435243,29.409660905799523,7.089364042122522,4.990511497910096,6.110888334977818,level,none,0,,,,,5.0
xgboost,post_covid,Far Southwest,100.0,100.0,100.0,0.7041331689008438,0.7137893141862155,0.7960799869635645,6.975636436617465,2.684613310346484,4.789643523234135,36.5591165320376,19.056846940188695,27.64286598524665,8.49035149541495,4.087017920096587,6.623625666415374,climatology,,,,,,,3.6666666666666665
lstm,post_covid,Far Southwest,96.15384615384616,100.0,98.1132075471698,0.719749699080585,0.5390049261803085,0.8068535563990572,7.103306762558651,3.693286673813395,5.366126717348804,37.72505705599632,34.27969630565672,35.96987327752142,8.870361192838562,4.68716447223428,7.056300264357306,level,train,22353,,,,,5.333333333333333
gat,post_covid,Far Southwest,76.92307692307693,96.29629629629628,86.79245283018868,0.3533951215973375,0.2660786056251178,0.5983299384045428,8.282160722292387,5.190761495519568,6.707296965257177,44.15474277329596,52.36514121469651,48.33739858306605,10.960495266020784,6.087107834776102,8.820935299719366,level,,8129,,,,,7.333333333333333
dualtopo,post_covid,Far Southwest,53.84615384615385,77.77777777777779,66.0377358490566,0.4931180238683602,0.2965157588562832,0.6556934078096407,10.228556156158447,6.289656533135308,8.221946914240998,40.43747224840385,66.86775103922656,53.901953896558815,13.371843937443806,7.056206618275374,10.633954931882723,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,Far Southwest,100.0,100.0,100.0,0.3515017350987849,0.3679616358482699,0.6028526157677659,12.929058017742522,3.595866377605408,8.174413219936822,64.25359452288558,28.63731886607704,46.109454093945374,18.20899297444592,4.892488631601899,13.223076647249242,level,none,0,,,,,8.0
gnn_st_v2,post_covid,Hilliard,100.0,96.29629629629628,98.1132075471698,0.834847125250002,0.6909705487037072,0.8595256063604919,4.013601174721351,2.599751498964098,3.2933381323544486,34029925.77426621,20718888.220466945,27248831.17138735,4.890765102966853,3.4849844677630863,4.233352116626199,blend,train,15734,69b537f,,,,1.3333333333333333
gnn_st,post_covid,Hilliard,100.0,96.29629629629628,98.1132075471698,0.8351259235321736,0.6882849268224851,0.8594974104117321,4.009775436841524,2.5990139069380582,3.2910856008529663,34095595.01637373,20849808.617486127,27347741.56788382,4.888994263288946,3.487743128751507,4.233506052096769,blend,train,15734,,,,,1.6666666666666667
lstm,post_covid,Hilliard,100.0,96.29629629629628,98.1132075471698,0.7533968409975892,0.414000717435384,0.779724451747319,5.192166998702624,3.4821734122215955,4.321038190495308,59.85124187415067,105.00046487559167,82.86849281606177,6.123213912777025,4.603624148496323,5.4027562100876905,level,train,22353,,,,,3.3333333333333335
xgboost,post_covid,Hilliard,100.0,92.5925925925926,96.22641509433964,0.7083015063869532,0.4723845267939337,0.7577469081013314,5.304960417440679,3.352800959617982,4.310464089870627,52793820.82485735,14015098.750702435,33038622.787080325,6.412034271465826,4.537300455982508,5.536875263982819,climatology,,,,,,,3.6666666666666665
persistence,post_covid,Hilliard,96.15384615384616,88.88888888888889,92.45283018867924,0.6653480612290578,0.4210100321553975,0.7180519962001606,5.771253682892814,3.4949249106788867,4.611614497047983,53.82017098828244,94.20301920301922,74.40750537226589,7.1213265983924625,5.06102890509232,6.158479308983043,level,none,0,,,,,5.666666666666667
arima,post_covid,Hilliard,80.76923076923077,88.88888888888889,84.90566037735849,0.6052430289472138,0.3536400759690924,0.6563202390353439,5.810443646441768,3.6604582586803183,4.715168071544426,51.395597439236205,118.95097623206009,85.83559447087191,7.502972103770357,4.795409759752759,6.271453938681243,level,none,,,,,,5.666666666666667
gat,post_covid,Hilliard,84.61538461538461,88.88888888888889,86.79245283018868,0.482242590782938,0.3562827967795231,0.6426297037173819,6.416999211678138,4.3891242168567794,5.383930818089899,67.9680097748802,146.69867166890916,108.10520995614984,7.729721026339953,4.952956239472583,6.465906530066663,level,,8129,,,,,6.666666666666667
dualtopo,post_covid,Hilliard,50.0,74.07407407407408,62.264150943396224,0.6281613399011452,-0.0270909800873596,0.6320738386309792,8.63308702982389,4.920295997902199,6.741665183373217,67.17126467480918,162.41551583176664,115.72715742149336,10.474751539859374,5.4522539966627654,8.304763243087216,level,train,479905,,,,,8.0
seasonal_naive,post_covid,Hilliard,100.0,100.0,100.0,0.3455976824296789,0.0665323698440769,0.5082759270066939,9.757583546334242,4.812683483557811,7.238483514353796,89.76379915234403,161.55871905871908,126.36513086931956,12.263406677512362,5.969018471830449,9.587883103708275,level,none,0,,,,,9.0
gnn_st,post_covid,Linden,96.15384615384616,96.29629629629628,96.22641509433964,0.8119306325476152,0.6981188351094905,0.884872076346783,6.833740234375,4.9273924297756615,5.862581918824394,18.38674547170672,32.504446701241974,25.57878194713034,8.788267615572993,6.020439618370197,7.506862968297335,blend,train,15734,,,,,1.0
gnn_st_v2,post_covid,Linden,96.15384615384616,96.29629629629628,96.22641509433964,0.8121006452951518,0.697897546575954,0.8848264176374445,6.8193649145273065,4.930872528641312,5.857302755679724,18.35136472664331,32.512212268811105,25.565381399068414,8.790320599518338,6.023168157343259,7.509156822619012,blend,train,15734,69b537f,,,,2.0
arima,post_covid,Linden,92.3076923076923,100.0,96.22641509433964,0.7026903536909943,0.6387386179456322,0.8199039922062142,9.54831222018017,5.657177207882707,7.566035893160709,23.20655316315679,39.8153358580911,31.66763113982144,11.15780959664857,6.705675561052448,9.164120846967029,level,none,,,,,,3.3333333333333335
lstm,post_covid,Linden,96.15384615384616,92.5925925925926,94.33962264150944,0.7455162621193507,0.4107631599566407,0.8225667944718167,8.493589387043105,6.985059553836775,7.725093056919125,22.243916361203876,46.6850109373165,34.69504001318578,10.025962043337575,8.38188262924415,9.225097647728894,level,train,22353,,,,,4.666666666666667
persistence,post_covid,Linden,100.0,96.29629629629628,98.1132075471698,0.7026903536909943,0.6387386179456322,0.8199039922062143,9.744499230184562,5.685352709898529,7.676632134944507,25.02908371651743,35.475584572984395,30.350886039623255,11.713051389799684,6.937132716219785,9.582243575733507,level,none,0,,,,,4.666666666666667
gat,post_covid,Linden,73.07692307692307,85.18518518518519,79.24528301886792,0.5594210857692153,0.5997047384193768,0.7566208691899914,9.622392727778507,6.647062866776078,8.106658647645194,24.413743353846417,55.344210767203435,40.170773922915096,12.600758251485004,8.33938960049085,10.645207205600084,level,,8129,,,,,6.333333333333333
