"Topic: Volume ($) of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Charlestown","2024","3983000","14503000","30156.6068515498"
"Chinatown","1996","17016258","46454981","149344.091764706"
"Chinatown","1997","14020420","57814317","166669.923433875"
"Chinatown","1998","13508568","48137369","159291.826873385"
"Chinatown","1999","14731283","38813615","154754.040462428"
"Chinatown","2000","12787853","55369813","125752.151291513"
"Chinatown","2001","13088540","98393156","151264.173677069"
"Chinatown","2002","18003939","39327154","80976.1200564972"
"Chinatown","2003","11109725","22130470","64294.3810444874"
"Chinatown","2004","9416872","32058172","80848.0389863548"
"Chinatown","2005","8578335","20840156","69712.0639810427"
"Chinatown","2006","10492457","33066543","51185.6639247944"
"Chinatown","2007","8532216","34955596","49474.188850967"
"Chinatown","2008","6786788","30612875","57894.2151702786"
"Chinatown","2009","4895640","28313356","106099.028753994"
"Chinatown","2010","3433736","18219041","74923.1038062284"
"Chinatown","2011","5371636","21608396","77976.9710982659"
"Chinatown","2012","6206128","20536517","78424.1788856305"
"Chinatown","2013","5092740","20281739","76892.3606060606"
"Chinatown","2014","7713732","21901463","74975.1772151899"
"Chinatown","2015","7509674","23870446","69733.6"
"Chinatown","2016","6565708","26557157","67597.6836734694"
"Chinatown","2017","8326640","23156415","62715.2490039841"
"Chinatown","2018","5306494","24907844","59830.3722772277"
"Chinatown","2019","6213549","22622216","52909.6605504587"
"Chinatown","2020","13107977","82618841","130774.341530055"
"Chinatown","2021","8191597","50798608","94384.328"
"Chinatown","2022","1146768","4873228","29509.7843137255"
"Chinatown","2023","1922146","5506995","36596.7536945813"
"Chinatown","2024","2196000","4771000","22047.4683544304"
"Dorchester","1996","9442990","16929623","70326.968"
"Dorchester","1997","12756961","21955340","82256.6374407583"
"Dorchester","1998","12115752","19068341","65789.2257383966"
"Dorchester","1999","16113206","20089227","61673.6507666099"
"Dorchester","2000","23423537","21678723","55476.3345633456"
"Dorchester","2001","17347884","22102893","37358.6903409091"
"Dorchester","2002","22337222","42468981","48290.762295082"
"Dorchester","2003","23206980","34588835","40989.9397163121"
"Dorchester","2004","19340128","39920774","42058.8374733854"
"Dorchester","2005","26739190","32234161","40392.7061643836"
"Dorchester","2006","22348013","49846557","27971.5497869043"
"Dorchester","2007","21966566","36860128","24399.2924097885"
"Dorchester","2008","11021025","33685232","25229.2646726862"
"Dorchester","2009","12600649","21672356","39303.9048165138"
"Dorchester","2010","10888166","17684280","39628.9126213592"
"Dorchester","2011","12164418","21321557","37083.0287929125"
"Dorchester","2012","17963970","25515451","42879.1134122288"
"Dorchester","2013","14058607","25941509","45819.147766323"
"Dorchester","2014","20505139","20721164","41433.4703517588"
"Dorchester","2015","21115848","25516914","42939.9281767956"
"Dorchester","2016","27541553","27201711","41253.4016578749"
"Dorchester","2017","23638210","25821695","36636.9666666667"
"Dorchester","2018","16794381","29304902","32998.7709377237"
"Dorchester","2019","16645606","30054840","28685.7776412776"
"Dorchester","2020","27729965","72791006","51470.031233999"
"Dorchester","2021","22412765","59210585","33479.6349466776"
"Dorchester","2022","21233428","24462598","23627.728024819"
"Dorchester","2023","16880293","20591774","19050.3645144891"
"Dorchester","2024","21471000","21253000","19670.349907919"
"Downtown","1996","31255274","120688682","162506.904812834"
"Downtown","1997","36103596","136767405","178401.445820433"
"Downtown","1998","35053497","95980254","165029.913098237"
"Downtown","1999","39271353","74183251","158900.005602241"
"Downtown","2000","35489782","104672038","127073.272892112"
"Downtown","2001","34196408","172534228","130347.185372005"
"Downtown","2002","41058344","92633201","89366.0060160428"
"Downtown","2003","42050262","89489813","70005.3618946248"
"Downtown","2004","39901371","118487827","83013.2064989518"
"Downtown","2005","32898586","85637830","78293.5376486129"
"Downtown","2006","40966780","126671428","52683.283469516"
"Downtown","2007","35110132","133193774","53042.5168610148"
"Downtown","2008","24149377","122973956","59976.898899307"
"Downtown","2009","20907465","109433848","105882.463850528"
"Downtown","2010","15941400","64230782","72292.3192064923"
"Downtown","2011","19862995","81949897","74207.6472303207"
"Downtown","2012","35165962","82479682","76742.1030658839"
"Downtown","2013","23054502","87639998","76183.4136269787"
"Downtown","2014","28916008","89527542","72398.2579462103"
"Downtown","2015","30242426","99805144","71258.9424657534"
"Downtown","2016","31205449","112172629","72376.6168601716"
"Downtown","2017","33036508","107505413","66293.3589622641"
"Downtown","2018","23311216","104883352","62019.6265118529"
"Downtown","2019","24444030","102809478","57685.1804170444"
"Downtown","2020","57015287","342317479","131792.992079208"
"Downtown","2021","36517968","213522144","95217.1028179741"
"Downtown","2022","20009494","124415759","54315.6273034976"
"Downtown","2023","23981011","101736810","53360.705008489"
"Downtown","2024","18821000","82902000","42830.7368421053"
"East Boston","1996","9790879","20129583","142478.39047619"
"East Boston","1997","4550116","11471061","93146.3779069767"
"East Boston","1998","6755135","4645839","67064.5529411765"
"East Boston","1999","6462295","7759650","53265.7116104869"
"East Boston","2000","6496250","4120728","28387.6417112299"
"East Boston","2001","9081535","12850895","49846.4318181818"
"East Boston","2002","7034273","13979616","43962.1108786611"
"East Boston","2003","11282971","12779865","45401.5773584906"
"East Boston","2004","13042879","12523090","47876.3464419476"
"East Boston","2005","6402500","7962165","28902.7464788732"
"East Boston","2006","9182260","15157498","27721.8200455581"
"East Boston","2007","8053601","14043106","24149.406557377"
"East Boston","2008","6569778","9716978","22939.0929577465"
"East Boston","2009","5652450","4349388","37742.7849056604"
"East Boston","2010","5467096","5738941","35916.7852564103"
"East Boston","2011","3037966","6970026","32076.8974358974"
"East Boston","2012","5741147","6314989","36644.7902735562"
"East Boston","2013","6303620","4506240","36643.593220339"
"East Boston","2014","10116063","7709307","52582.2123893805"
"East Boston","2015","4749180","11932513","39436.6264775414"
"East Boston","2016","8851568","10473659","36531.6200378072"
"East Boston","2017","10946863","7708752","35332.6041666667"
"East Boston","2018","7390877","9565913","31518.1970260223"
"East Boston","2019","9788863","13720848","38103.2593192869"
"East Boston","2020","12436484","29723923","55111.6431372549"
"East Boston","2021","9181802","19624192","33691.2210526316"
"East Boston","2022","6087516","11295129","21728.30625"
"East Boston","2023","5291821","11218867","19424.3388235294"
"East Boston","2024","8684000","11989000","22817.880794702"
"Fenway","1996","3522877","19029934","119327.042328042"
"Fenway","1997","11748603","11144657","111674.43902439"
"Fenway","1998","2767488","4401423","37338.078125"
"Fenway","1999","9267896","4279953","78311.2658959538"
"Fenway","2000","6951680","8567544","46604.2762762763"
"Fenway","2001","7790246","11715482","46664.4210526316"
"Fenway","2002","9506906","19101000","69436.6650485437"
"Fenway","2003","12503673","11460279","53371.8307349666"
"Fenway","2004","4792685","14044261","43204.004587156"
"Fenway","2005","6532606","8109940","36243.9257425743"
"Fenway","2006","9664636","13522088","29879.7989690722"
"Fenway","2007","11437263","18874964","35002.5715935335"
"Fenway","2008","6341024","12013268","28412.2167182663"
"Fenway","2009","3806812","8711939","46886.7078651685"
"Fenway","2010","5001077","5021214","40089.164"
"Fenway","2011","3905558","3526161","26926.518115942"
"Fenway","2012","5056636","4560673","31023.5774193548"
"Fenway","2013","7246066","9143076","47230.9567723343"
"Fenway","2014","10896668","6320386","47958.3676880223"
"Fenway","2015","9853092","6608878","42427.7577319588"
"Fenway","2016","5389105","8251617","34797.7602040816"
"Fenway","2017","7009934","13520713","45929.8590604027"
"Fenway","2018","7004842","14625591","42412.6137254902"
"Fenway","2019","3702568","10929813","28634.7964774951"
"Fenway","2020","12700729","32070613","88832.0277777778"
"Fenway","2021","7496388","28402005","63424.722614841"
"Fenway","2022","3086628","9614632","31516.7741935484"
"Fenway","2023","4533053","7706086","28663.0889929742"
"Fenway","2024","4921000","9675000","31661.6052060738"
"Hyde Park","1996","2696960","9672791","89635.8768115942"
"Hyde Park","1997","4656977","9062117","100139.372262774"
"Hyde Park","1998","3916851","4378140","50889.5153374233"
"Hyde Park","1999","3669498","6306768","54218.8369565217"
"Hyde Park","2000","1531683","3118017","15145.6026058632"
"Hyde Park","2001","5650840","10751935","44331.8243243243"
"Hyde Park","2002","11738953","13329058","53678.8244111349"
"Hyde Park","2003","6390653","17646507","47224.2829076621"
"Hyde Park","2004","9479737","16353205","48467.0581613508"
"Hyde Park","2005","7265042","11079258","36182.0512820513"
"Hyde Park","2006","8787213","16471495","28900.1235697941"
"Hyde Park","2007","4837152","15201583","24143.0542168675"
"Hyde Park","2008","3235298","11470047","23267.9509493671"
"Hyde Park","2009","2212846","3949741","20405.917218543"
"Hyde Park","2010","2223120","6938402","33314.6254545455"
"Hyde Park","2011","3253792","10736146","41636.7202380952"
"Hyde Park","2012","6801388","12994777","51958.43832021"
"Hyde Park","2013","8098307","11555739","64864.8382838284"
"Hyde Park","2014","10416907","9669435","62379.9440993789"
"Hyde Park","2015","14127089","11327614","71301.6890756302"
"Hyde Park","2016","15290261","13787115","61998.6695095949"
"Hyde Park","2017","7100806","9060311","33809.8682008368"
"Hyde Park","2018","4236387","13430008","34708.0451866405"
"Hyde Park","2019","9311627","18208586","50403.3205128205"
"Hyde Park","2020","5911572","33940934","63257.946031746"
"Hyde Park","2021","8179351","23534446","37664.8420427553"
"Hyde Park","2022","7356463","11162233","26838.6898550725"
"Hyde Park","2023","4742049","10729837","21669.3081232493"
"Hyde Park","2024","7264000","11283000","24895.3020134228"
"Jamaica Plain","1996","4134603","16709735","100213.163461538"
"Jamaica Plain","1997","4286268","7797232","71500"
"Jamaica Plain","1998","6390212","5305307","57051.312195122"
"Jamaica Plain","1999","11440364","7738761","66363.7543252595"
"Jamaica Plain","2000","13300195","5276371","41651.4932735426"
"Jamaica Plain","2001","10905413","11834386","43479.5391969407"
"Jamaica Plain","2002","11649547","10644889","38240.885077187"
"Jamaica Plain","2003","12134945","13203270","34805.2403846154"
"Jamaica Plain","2004","9070667","17291794","37986.2550432277"
"Jamaica Plain","2005","9248955","11366597","30632.3209509658"
"Jamaica Plain","2006","16917015","18077927","27085.8684210526"
"Jamaica Plain","2007","16711259","13965261","22310.1963636364"
"Jamaica Plain","2008","4981371","11966538","17672.480709072"
"Jamaica Plain","2009","2446712","9092901","29818.1214470284"
"Jamaica Plain","2010","6556207","6785500","37163.5292479109"
"Jamaica Plain","2011","8587345","7545808","38781.6177884615"
"Jamaica Plain","2012","13066062","10704871","48611.3149284254"
"Jamaica Plain","2013","9870604","9097551","44736.2146226415"
"Jamaica Plain","2014","7826138","9817587","35429.1666666667"
"Jamaica Plain","2015","8609716","11008843","35158.7078853047"
"Jamaica Plain","2016","13089288","14624892","44917.6337115073"
"Jamaica Plain","2017","9059411","9262203","30134.2335526316"
"Jamaica Plain","2018","8302170","10621384","27666.014619883"
"Jamaica Plain","2019","10036442","12315802","31750.3465909091"
"Jamaica Plain","2020","10767685","29159193","45423.0693970421"
"Jamaica Plain","2021","16549140","21446902","39538.0249739854"
"Jamaica Plain","2022","9976882","10029398","24729.6415327565"
"Jamaica Plain","2023","7843015","4958251","17488.0683060109"
"Jamaica Plain","2024","7012000","8058000","18134.7773766546"
"Longwood","1996","77474","728526","115142.857142857"
"Longwood","1997","55806","190005","24581.1"
"Longwood","1998","117749","115133","19406.8333333333"
"Longwood","1999","684829","609306","99548.8461538462"
"Longwood","2000","137465","1427906","130447.583333333"
"Longwood","2001","97537","120416","8072.33333333333"
"Longwood","2002","340215","992196","70126.8947368421"
"Longwood","2003","108083","1114456","58216.1428571429"
"Longwood","2004","458550","195352","40868.875"
"Longwood","2005","73543","529512","33503.0555555556"
"Longwood","2006","149067","521734","19165.7428571429"
"Longwood","2007","134309","383739","19186.962962963"
"Longwood","2008","92370","1522053","62093.1923076923"
"Longwood","2009","0","353345","27180.3846153846"
"Longwood","2010","0","21276","7092"
"Longwood","2011","723138","90392","47854.7058823529"
"Longwood","2012","6831","73780","13435.1666666667"
"Longwood","2013","28273","440257","33466.4285714286"
"Longwood","2014","1573139","462532","145405.071428571"
"Longwood","2015","109861","1107877","55351.7272727273"
"Longwood","2016","126787","381668","25422.75"
"Longwood","2017","171505","730815","34704.6153846154"
"Longwood","2018","319822","623402","47161.2"
"Longwood","2019","95693","2288035","66214.6666666667"
"Longwood","2020","464247","1883654","117395.05"
"Longwood","2021","32412","1390235","94843.1333333333"
"Longwood","2022","52516","387972","24471.5555555556"
"Longwood","2023","33975","618752","46623.3571428571"
"Longwood","2024","77000","768000","29137.9310344828"
"Mattapan","1996","2709136","2954039","66625.5882352941"
"Mattapan","1997","3107855","748331","59325.9384615385"
"Mattapan","1998","3322907","2290202","67627.8192771084"
"Mattapan","1999","5433428","1385854","66206.6213592233"
"Mattapan","2000","2856580","1141950","28358.3687943262"
"Mattapan","2001","2262352","5580999","42396.4918918919"
"Mattapan","2002","3088346","3966989","30944.451754386"
"Mattapan","2003","1968630","2638266","20117.4497816594"
"Mattapan","2004","3594734","2618210","29306.3396226415"
"Mattapan","2005","3225726","2699927","24897.7016806723"
"Mattapan","2006","4160799","5024465","20143.1228070175"
"Mattapan","2007","6433235","4302017","23750.5575221239"
"Mattapan","2008","2411371","2729166","16216.2050473186"
"Mattapan","2009","1042140","4669251","43933.7769230769"
"Mattapan","2010","927400","6191654","61371.1551724138"
"Mattapan","2011","1456858","5310986","37391.4033149171"
"Mattapan","2012","1910072","5332627","34489.0428571429"
"Mattapan","2013","5143064","8253137","85326.1210191083"
"Mattapan","2014","3961340","4475559","58589.5763888889"
"Mattapan","2015","1580413","4312382","32556.8784530387"
"Mattapan","2016","3546117","4313375","39297.46"
"Mattapan","2017","6060259","5238573","50217.0311111111"
"Mattapan","2018","3592996","5751791","42865.995412844"
"Mattapan","2019","5481469","3803168","35986.9651162791"
"Mattapan","2020","2664268","9310393","42313.2897526502"
"Mattapan","2021","3027031","12189155","34193.6764044944"
"Mattapan","2022","4112289","2063111","17543.75"
"Mattapan","2023","1781099","2482214","12958.3981762918"
"Mattapan","2024","2753000","3148000","16256.1983471074"
"Mission Hill","1996","1081367","3918114","69437.2361111111"
"Mission Hill","1997","1337957","2564210","57384.8088235294"
"Mission Hill","1998","755528","2923576","46570.9367088608"
"Mission Hill","1999","2450208","5293726","94438.2195121951"
"Mission Hill","2000","2543551","2110874","37235.4"
"Mission Hill","2001","2161385","2103920","27877.8104575163"
"Mission Hill","2002","1944355","3621880","32742.5588235294"
"Mission Hill","2003","2154760","3639134","34283.3964497041"
"Mission Hill","2004","2919814","2576352","31587.1609195402"
"Mission Hill","2005","2002180","1894883","23196.8035714286"
"Mission Hill","2006","2369031","6321377","25262.8139534884"
"Mission Hill","2007","2079473","5925765","25094.789968652"
"Mission Hill","2008","3669278","4411905","31201.4787644788"
"Mission Hill","2009","354459","1603141","23304.7619047619"
"Mission Hill","2010","573604","1422211","22679.7159090909"
"Mission Hill","2011","1850753","1652061","36871.7263157895"
"Mission Hill","2012","2669803","4478239","62702.1228070175"
"Mission Hill","2013","4299378","3040435","64954.0973451327"
"Mission Hill","2014","3796132","4351890","69051.0338983051"
"Mission Hill","2015","1319691","1571988","25365.6052631579"
"Mission Hill","2016","2093856","2929169","40508.2661290323"
"Mission Hill","2017","4924961","1507590","44670.4930555556"
"Mission Hill","2018","2252842","3291086","35767.2774193548"
"Mission Hill","2019","1002116","3200105","27829.2781456954"
"Mission Hill","2020","4059888","4420494","44168.65625"
"Mission Hill","2021","2532824","4737066","31885.4824561404"
"Mission Hill","2022","1355758","2519674","24221.45"
"Mission Hill","2023","858634","1138668","13315.3466666667"
"Mission Hill","2024","1606000","3142000","24989.4736842105"
"North End","1996","10945589","41121948","151359.119186047"
"North End","1997","18403309","44291550","168988.838274933"
"North End","1998","15981228","25347736","133319.238709677"
"North End","1999","15090447","17587821","119263.751824818"
"North End","2000","18125839","24758774","104852.354523227"
"North End","2001","16705603","38757047","94324.2346938775"
"North End","2002","18557106","36028702","96783.3475177305"
"North End","2003","15489165","27023185","69921.6282894737"
"North End","2004","16557098","32595680","78393.5853269537"
"North End","2005","11672179","32566768","84748.9406130268"
"North End","2006","15346727","32988353","42214.0436681223"
"North End","2007","15146516","35047423","47086.2467166979"
"North End","2008","8180898","36202401","48453.3831877729"
"North End","2009","7930248","27547109","80265.5135746606"
"North End","2010","9083682","14364239","58766.7192982456"
"North End","2011","8692114","21825467","60550.755952381"
"North End","2012","11187690","18713343","56954.3485714286"
"North End","2013","7407220","20536389","60879.3224400871"
"North End","2014","12142857","23255245","70938.0801603206"
"North End","2015","10164582","23247200","66425.013916501"
"North End","2016","15536929","25607188","68232.3665008292"
"North End","2017","16216353","28874653","74653.9834437086"
"North End","2018","10064462","25201090","59772.1220338983"
"North End","2019","9016822","31523820","60689.5838323353"
"North End","2020","19726095","78496441","111363.419501134"
"North End","2021","13584233","63362643","89162.0811123986"
"North End","2022","2792970","6747712","22291.3130841121"
"North End","2023","2773573","5891012","24202.751396648"
"North End","2024","2825000","7952000","27847.5452196382"
"Roslindale","1996","1964135","4898369","68625.04"
"Roslindale","1997","1654642","2558559","33705.608"
"Roslindale","1998","4245604","2271335","43737.8456375839"
"Roslindale","1999","1997653","3557593","27776.23"
"Roslindale","2000","3005612","5799170","27514.94375"
"Roslindale","2001","4689962","5469592","28220.9833333333"
"Roslindale","2002","6806908","8027780","36359.5294117647"
"Roslindale","2003","5446291","6206433","27877.3301435407"
"Roslindale","2004","7053651","6521735","28519.718487395"
"Roslindale","2005","5578232","5721903","22157.1274509804"
"Roslindale","2006","8145300","6426441","16768.4016110472"
"Roslindale","2007","9503187","6811784","17928.5395604396"
"Roslindale","2008","4837675","8115539","19449.2702702703"
"Roslindale","2009","4095785","2307878","22627.7844522968"
"Roslindale","2010","985919","2619228","15406.6111111111"
"Roslindale","2011","2111045","2190427","14532"
"Roslindale","2012","3655249","4301411","20559.8449612403"
"Roslindale","2013","5799706","4359707","32354.8184713376"
"Roslindale","2014","10315893","5957268","47862.2382352941"
"Roslindale","2015","5268480","7056074","36899.8622754491"
"Roslindale","2016","9235976","7078112","44092.1297297297"
"Roslindale","2017","4740809","6054504","26394.4083129584"
"Roslindale","2018","5975647","4386328","25585.1234567901"
"Roslindale","2019","4637043","5653145","23280.9683257919"
"Roslindale","2020","7519569","12347939","37485.8641509434"
"Roslindale","2021","5713892","10585313","27210.6928213689"
"Roslindale","2022","8455003","5509845","26701.430210325"
"Roslindale","2023","3807229","6673460","20001.3148854962"
"Roslindale","2024","5452000","6391000","19771.285475793"
"Roxbury","1996","5105626","20272367","123795.087804878"
"Roxbury","1997","8638587","24786788","161475.241545894"
"Roxbury","1998","6649389","19106962","125030.830097087"
"Roxbury","1999","7830529","12415619","89982.88"
"Roxbury","2000","7192964","13042886","56842.2752808989"
"Roxbury","2001","11521135","31583962","82418.9235181644"
"Roxbury","2002","6287707","25797918","55898.3013937282"
"Roxbury","2003","9244618","18181498","47864.0767888307"
"Roxbury","2004","9932859","20904211","56169.5264116576"
"Roxbury","2005","7603806","19892615","51685.0018796993"
"Roxbury","2006","10231996","33063291","42781.9041501976"
"Roxbury","2007","12561756","21723071","35900.342408377"
"Roxbury","2008","5829929","18758454","38419.3484375"
"Roxbury","2009","4770832","14335788","66573.5888501742"
"Roxbury","2010","3889146","14689220","60515.8501628665"
"Roxbury","2011","7342160","15882755","58797.253164557"
"Roxbury","2012","10069208","17608507","64068.7847222222"
"Roxbury","2013","12201056","20540571","86389.5171503958"
