"Topic: Living Arrangements",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Household population","Group quarters population","Average household size"
"South Boston","2020","39525","369","2.20058272718668"
"South Boston","2025","40535","369","2.14998864147537"
"South Boston Waterfront","1950","673","0","3.43367346938776"
"South Boston Waterfront","1960","389","9","2.99230769230769"
"South Boston Waterfront","1970","288","0","2.66666666666667"
"South Boston Waterfront","1980","183","10","2.20481927710843"
"South Boston Waterfront","1990","263","21","1.93382352941176"
"South Boston Waterfront","2000","403","28","1.85714285714286"
"South Boston Waterfront","2010","1674","215","1.7510460251046"
"South Boston Waterfront","2020","6228","1","1.71914477477229"
"South Boston Waterfront","2025","8288","1","1.77015815206759"
"South End","1950","46074","243","4.07446055889636"
"South End","1960","27757","1583","1.79181460202698"
"South End","1970","18044","2453","2.21073266356285"
"South End","1980","20426","1910","2.03183129414105"
"South End","1990","22442","1472","1.99750778816199"
"South End","2000","22861","1348","1.79965362512792"
"South End","2010","26361","995","1.82770574776399"
"South End","2020","31756","839","1.96605972560674"
"South End","2025","33743","839","1.89446414533452"
"West End","1950","12791","118","3.37582475587226"
"West End","1960","1395","586","1.875"
"West End","1970","2794","502","1.54535398230089"
"West End","1980","3631","720","1.58144599303136"
"West End","1990","3171","481","1.48663853727145"
"West End","2000","3700","1003","1.50590150590151"
"West End","2010","4479","944","1.55412907702984"
"West End","2020","8147","574","1.78185814085739"
"West End","2025","8732","574","1.74143506377215"
"West Roxbury","1950","26950","116","3.70854547956516"
"West Roxbury","1960","29423","372","3.4437031835206"
"West Roxbury","1970","33338","875","3.14301876119544"
"West Roxbury","1980","30629","704","2.54077146412277"
"West Roxbury","1990","29099","607","2.34574768238613"
"West Roxbury","2000","28019","734","2.31887776214516"
"West Roxbury","2010","29787","658","2.29837962962963"
"West Roxbury","2020","31277","505","2.3476221001276"
"West Roxbury","2025","30876","505","2.21858924281696"
