"Topic: Volume ($) of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included. All monetary values are in 2022 inflation-adjusted dollars.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loan volume ($)"
"Mattapan","2010","31318390","2388088","39897998","31318390"
"Mattapan","2011","21791848","1532423","37866925","21791848"
"Mattapan","2012","19680799","1380460","58475169","19680799"
"Mattapan","2013","53837106","3015029","58347086","53837106"
"Mattapan","2014","49832796","3695027","45922667","49832796"
"Mattapan","2015","56543803","4862416","66966267","56543803"
"Mattapan","2016","89093773","7912429","86291684","89093773"
"Mattapan","2017","67219194","11162008","63843965","67219194"
"Mattapan","2018","82765099","6211899","78190672","82765099"
"Mattapan","2019","83083585","7062906","113058008","83083585"
"Mattapan","2020","96205675","4653107","178779956","96205675"
"Mattapan","2021","88124830","8213608","188648375","88124830"
"Mattapan","2022","77145000","5285000","64395000","77145000"
"Mission Hill","2007","45252127","8507370","43374170","45252127"
"Mission Hill","2008","29033172","837753","36695697","29033172"
"Mission Hill","2009","21735275","705975","55381411","21735275"
"Mission Hill","2010","43420171","516712","36223356","43420171"
"Mission Hill","2011","35045792","4421409","69029846","35045792"
"Mission Hill","2012","47240753","4832229","103647369","47240753"
"Mission Hill","2013","63840366","9273905","50075638","63840366"
"Mission Hill","2014","104887826","12881052","42376903","104887826"
"Mission Hill","2015","45898554","14592491","51505873","45898554"
"Mission Hill","2016","63888528","22270592","63386833","63888528"
"Mission Hill","2017","122232146","12566592","69825470","122232146"
"Mission Hill","2018","40592188","1304971","41062885","40592188"
"Mission Hill","2019","49652652","62214284","55814302","49652652"
"Mission Hill","2020","102418792","2667302","103516252","102418792"
"Mission Hill","2021","36278324","2152990","120639521","36278324"
"Mission Hill","2022","82275000","405000","144525000","82275000"
"North End","2007","90703717","20316482","77155498","90703717"
"North End","2008","112004901","4114023","73563485","112004901"
"North End","2009","74901465","2956160","140213236","74901465"
"North End","2010","75295582","4909436","127004792","75295582"
"North End","2011","69133941","7931248","132616498","69133941"
"North End","2012","93844835","22822040","203861676","93844835"
"North End","2013","109012372","1510672","126806078","109012372"
"North End","2014","114785108","4706651","82659304","114785108"
"North End","2015","133665148","6165952","75038471","133665148"
"North End","2016","198970555","14013969","100109561","198970555"
"North End","2017","101355121","11110459","52520137","101355121"
"North End","2018","110483409","4258618","41336473","110483409"
"North End","2019","120325681","3464346","98495788","120325681"
"North End","2020","124775998","1794677","154902666","124775998"
"North End","2021","154588878","3971961","167629736","154588878"
"North End","2022","162570000","5380000","69325000","162570000"
"Roslindale","2007","137054181","13323774","139790175","137054181"
"Roslindale","2008","90847955","6365756","110496512","90847955"
"Roslindale","2009","97875943","4445403","228931601","97875943"
"Roslindale","2010","90259847","5868160","208876933","90259847"
"Roslindale","2011","78644831","12560863","195310941","78644831"
"Roslindale","2012","93029504","9990543","272906553","93029504"
"Roslindale","2013","127887008","9334459","196883752","127887008"
"Roslindale","2014","160095486","13087015","98389021","160095486"
"Roslindale","2015","161022964","20775500","177681338","161022964"
"Roslindale","2016","178166658","27913926","215072871","178166658"
"Roslindale","2017","175516641","26006712","100469792","175516641"
"Roslindale","2018","208667376","17957993","93548656","208667376"
"Roslindale","2019","206914640","16221590","214163087","206914640"
"Roslindale","2020","204716434","12069249","486888025","204716434"
"Roslindale","2021","327921491","13139424","408673667","327921491"
"Roslindale","2022","206210000","17235000","95590000","206210000"
"Roxbury","2007","126104527","15442440","153712231","126104527"
"Roxbury","2008","80490649","3825381","72493297","80490649"
"Roxbury","2009","61466723","2671647","103175051","61466723"
"Roxbury","2010","66088771","1715920","95105272","66088771"
"Roxbury","2011","59609076","6329309","90605500","59609076"
"Roxbury","2012","81667362","7025605","133246696","81667362"
"Roxbury","2013","95095183","10178633","129285015","95095183"
"Roxbury","2014","176502541","16962365","96214877","176502541"
"Roxbury","2015","206145717","24931861","124301072","206145717"
"Roxbury","2016","148716651","33131543","139670876","148716651"
"Roxbury","2017","177347393","29374292","124782560","177347393"
"Roxbury","2018","179211118","20424953","112693781","179211118"
"Roxbury","2019","186765307","11081109","222187341","186765307"
"Roxbury","2020","229348049","9317397","374652513","229348049"
"Roxbury","2021","220581660","24438150","380384471","220581660"
"Roxbury","2022","146605000","13370000","137880000","146605000"
"South Boston","2007","365584679","10187244","240469517","365584679"
"South Boston","2008","235528062","5597937","245258217","235528062"
"South Boston","2009","243022543","17321850","445706162","243022543"
"South Boston","2010","267048259","6274632","592230752","267048259"
"South Boston","2011","252071874","41316527","402448406","252071874"
"South Boston","2012","371991556","28595602","620824009","371991556"
"South Boston","2013","459332408","35972302","447758868","459332408"
"South Boston","2014","456242240","41851384","216129414","456242240"
"South Boston","2015","512989716","32764851","390842698","512989716"
"South Boston","2016","532777811","80040824","462913746","532777811"
"South Boston","2017","617048328","61445773","301969580","617048328"
"South Boston","2018","691741499","28170186","215170319","691741499"
"South Boston","2019","735505852","14791765","475337665","735505852"
"South Boston","2020","640666097","14843808","1063660768","640666097"
"South Boston","2021","918113682","21305733","952975708","918113682"
"South Boston","2022","593735000","20335000","222975000","593735000"
"South Boston Waterfront","2007","13450279","251916","11066818","13450279"
"South Boston Waterfront","2008","9601411","0","6701587","9601411"
"South Boston Waterfront","2009","9408549","1108826","16673118","9408549"
"South Boston Waterfront","2010","10059739","69519","48266769","10059739"
"South Boston Waterfront","2011","7750034","1231438","12304144","7750034"
"South Boston Waterfront","2012","48360469","2037102","48193119","48360469"
"South Boston Waterfront","2013","35922489","3621306","31591755","35922489"
"South Boston Waterfront","2014","34033048","1691582","19930749","34033048"
"South Boston Waterfront","2015","69335898","2937733","34863229","69335898"
"South Boston Waterfront","2016","53803966","2245260","38131131","53803966"
"South Boston Waterfront","2017","43296291","5158551","38878212","43296291"
"South Boston Waterfront","2018","112431325","1951112","19197738","112431325"
"South Boston Waterfront","2019","154368808","1131254","41330506","154368808"
"South Boston Waterfront","2020","97871913","845587","88551476","97871913"
"South Boston Waterfront","2021","144509024","1590847","89391090","144509024"
"South Boston Waterfront","2022","109360000","2010000","29485000","109360000"
"South End","2007","436623247","10521331","272971829","436623247"
"South End","2008","380351924","6846237","316065646","380351924"
"South End","2009","302842962","7448502","659354772","302842962"
"South End","2010","288493957","16546162","614981040","288493957"
"South End","2011","329148918","35297518","639512516","329148918"
"South End","2012","440301936","34077868","710145284","440301936"
"South End","2013","616133176","28726131","492033704","616133176"
"South End","2014","411593862","27552015","190086183","411593862"
"South End","2015","570601528","23399060","316062646","570601528"
"South End","2016","479264393","34115046","375782529","479264393"
"South End","2017","491738262","28912813","182895353","491738262"
"South End","2018","554057418","15486235","142477127","554057418"
"South End","2019","479125695","12215361","374324360","479125695"
"South End","2020","492042068","16216366","661977536","492042068"
"South End","2021","653298304","13263284","619648246","653298304"
"South End","2022","572505000","23005000","245190000","572505000"
"West End","2007","20760815","133332","18758211","20760815"
"West End","2008","31196989","452900","27729485","31196989"
"West End","2009","23258253","53604","47483959","23258253"
"West End","2010","14908207","224983","40514853","14908207"
"West End","2011","19480358","3147711","37091374","19480358"
"West End","2012","17279333","242186","164884042","17279333"
"West End","2013","143144764","119345","26783505","143144764"
"West End","2014","15139843","1238681","8804276","15139843"
"West End","2015","26765517","2383053","8132015","26765517"
"West End","2016","13160555","981585","11247378","13160555"
"West End","2017","34948584","328329","8457767","34948584"
"West End","2018","41979849","1503443","248761482","41979849"
"West End","2019","39126437","990180","15053033","39126437"
"West End","2020","26753954","932883","45948727","26753954"
"West End","2021","32584426","113403","32903034","32584426"
"West End","2022","18520000","1180000","39240000","18520000"
"West Roxbury","2007","170741527","17266394","159081455","170741527"
"West Roxbury","2008","123658272","5148916","160131576","123658272"
"West Roxbury","2009","127169070","10361883","405264789","127169070"
"West Roxbury","2010","116375640","8927711","419171612","116375640"
"West Roxbury","2011","119227456","18509919","313236177","119227456"
"West Roxbury","2012","144787709","24383030","537145576","144787709"
"West Roxbury","2013","165295175","18372831","298546875","165295175"
"West Roxbury","2014","143656060","13509285","108186773","143656060"
"West Roxbury","2015","201510002","24130575","196530286","201510002"
"West Roxbury","2016","189981204","35615074","248153222","189981204"
"West Roxbury","2017","262704178","31918401","138706670","262704178"
"West Roxbury","2018","201222391","23996809","344014484","201222391"
"West Roxbury","2019","257275227","19952423","281096790","257275227"
"West Roxbury","2020","263491373","14920474","699526524","263491373"
"West Roxbury","2021","265000912","21389942","517765122","265000912"
"West Roxbury","2022","394740000","16560000","86870000","394740000"
