"Topic: Race and Ethnicity",,,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,,,,
"Note: In 1950 and 1960, the only race/ethnicity categories on the Census were White, Black, and Other. Two or more races became an option in 2000.",,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,,,,
"Download type: geographically disaggregated",,,,,,,,,
,,,,,,,,,
"GEOID","YEAR","White","Black/African American","Hispanic/Latino","Asian/Pacific Islander","American Indian","Two or More","Other","Non-white share of population"
"South Boston Waterfront","2010","1600","36","107","114","4","23","5","0.152991000529381"
"South Boston Waterfront","2020","4803","183","355","542","2","267","78","0.229022423632343"
"South Boston Waterfront","2025","6332","253","484","739","2","386","93","0.236055563337373"
"South End","1950","36644","9341","0","0","0","0","332","0.208843405229182"
"South End","1960","20409","8136","0","0","0","0","796","0.304420435567977"
"South End","1970","10607","5707","1158","2885","40","0","100","0.482509635556423"
"South End","1980","9897","6063","2775","3268","61","0","274","0.556943325275316"
"South End","1990","11287","5327","3424","3698","97","0","82","0.528036796989337"
"South End","2000","12365","4220","3428","3493","73","528","102","0.489239539014416"
"South End","2010","14827","3505","3669","4589","52","567","146","0.457978431730945"
"South End","2020","18119","3451","4181","5355","53","1229","207","0.444124677002023"
"South End","2025","19218","3666","4381","5773","55","1269","220","0.444269235239729"
"West End","1950","12758","139","0","0","0","0","11","0.0116207003408739"
"West End","1960","1887","83","0","0","0","0","12","0.0479313824419778"
"West End","1970","3052","133","70","27","6","0","9","0.0743099787685775"
"West End","1980","3971","193","93","59","3","0","33","0.0875459558823529"
"West End","1990","3016","232","191","209","2","0","2","0.174151150054765"
"West End","2000","3389","426","278","491","14","95","11","0.279549319727891"
"West End","2010","3450","615","481","746","8","111","12","0.363820763415084"
"West End","2020","5457","410","730","1630","10","366","119","0.374283400346802"
"West End","2025","5900","423","750","1714","14","380","125","0.36595192937914"
"West Roxbury","1950","27050","7","0","0","0","0","8","0.000554221319046739"
"West Roxbury","1960","29727","37","0","0","0","0","30","0.00224877492112506"
"West Roxbury","1970","33942","79","54","115","8","0","16","0.00794996200385807"
"West Roxbury","1980","30332","185","395","286","14","0","121","0.0319471483739189"
"West Roxbury","1990","28012","472","625","564","23","0","10","0.0570255167306268"
"West Roxbury","2000","24029","1718","1309","1090","58","474","75","0.164295899558307"
"West Roxbury","2010","22302","2959","2573","1976","29","488","118","0.267465922154705"
"West Roxbury","2020","20971","3395","3626","2468","26","1074","223","0.340181373737019"
"West Roxbury","2025","20994","3263","3484","2398","26","1008","208","0.330992941949596"
