"Topic: Number of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loans"
"Roxbury","2016","229","67","247","229"
"Roxbury","2017","224","52","222","224"
"Roxbury","2018","282","47","197","282"
"Roxbury","2019","262","40","334","262"
"Roxbury","2020","249","36","580","249"
"Roxbury","2021","292","36","615","292"
"Roxbury","2022","229","42","190","229"
"South Boston","2007","945","57","593","945"
"South Boston","2008","587","28","617","587"
"South Boston","2009","617","24","1119","617"
"South Boston","2010","618","18","1097","618"
"South Boston","2011","593","66","955","593"
"South Boston","2012","787","64","1570","787"
"South Boston","2013","886","75","1067","886"
"South Boston","2014","845","66","450","845"
"South Boston","2015","793","82","756","793"
"South Boston","2016","773","121","888","773"
"South Boston","2017","813","90","414","813"
"South Boston","2018","886","98","353","886"
"South Boston","2019","810","64","728","810"
"South Boston","2020","795","53","1809","795"
"South Boston","2021","1113","59","1449","1113"
"South Boston","2022","705","83","297","705"
"South Boston Waterfront","2007","34","1","17","34"
"South Boston Waterfront","2008","23","0","17","23"
"South Boston Waterfront","2009","24","1","36","24"
"South Boston Waterfront","2010","22","1","34","22"
"South Boston Waterfront","2011","16","1","26","16"
"South Boston Waterfront","2012","64","5","109","64"
"South Boston Waterfront","2013","67","4","65","67"
"South Boston Waterfront","2014","60","4","28","60"
"South Boston Waterfront","2015","72","6","51","72"
"South Boston Waterfront","2016","67","6","66","67"
"South Boston Waterfront","2017","56","7","32","56"
"South Boston Waterfront","2018","101","5","18","101"
"South Boston Waterfront","2019","109","4","48","109"
"South Boston Waterfront","2020","99","4","132","99"
"South Boston Waterfront","2021","138","3","110","138"
