"Topic: Age",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","0-9 years","10-19 years","20-34 years","35-54 years","55-64 years","65 years and over","Share of population aged 20-34"
"Jamaica Plain","2000","4261","4243","11144","11303","2443","3345","0.303328887558181"
"Jamaica Plain","2010","3779","3333","11799","9858","3949","3640","0.32452280103416"
"Jamaica Plain","2020","3698","3162","14562","10438","4088","5752","0.349210514147015"
"Jamaica Plain","2024","3471","3065","14918","10599","4031","6616","0.349367681498829"
"Jamaica Plain","2025","3499","3062","14829","10790","4183","6586","0.34527282525444"
"Longwood","1950","168","334","1045","578","238","229","0.403163580246914"
"Longwood","1960","612","1023","1076","524","247","243","0.288859060402685"
"Longwood","1970","281","1291","1610","313","128","149","0.426829268292683"
"Longwood","1980","186","1240","1357","175","71","75","0.437177835051546"
"Longwood","1990","126","984","1182","192","60","59","0.454091432961967"
"Longwood","2000","244","1542","1772","220","57","73","0.453428863868987"
"Longwood","2010","56","2255","2291","145","63","51","0.47130220119317"
"Longwood","2020","30","2238","3022","94","34","66","0.550979663180873"
"Longwood","2024","32","2243","3065","114","30","77","0.551159863333933"
"Longwood","2025","35","2245","3069","92","34","78","0.552674230145867"
"Mattapan","1950","4114","2946","5352","6892","2576","1964","0.224458983392048"
"Mattapan","1960","4059","3842","3744","6991","2999","2774","0.153386046130526"
"Mattapan","1970","4034","4089","4902","5445","3411","3833","0.190635451505017"
"Mattapan","1980","3477","4554","6084","5074","1648","1991","0.266514806378132"
"Mattapan","1990","3814","3721","6335","6564","1754","1850","0.263541059988352"
