"Topic: Educational Attainment",,,,,,
"Geographic Extent: City of Boston",,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,
"Download type: geographically disaggregated",,,,,,
,,,,,,
"GEOID","YEAR","Less than high school","High school or some equivalent","Some college","Bachelor's or more","Share of population (25+) with bachelor's or more"
"Mattapan","2025","2505","4870","5381","4336","0.25371427733496"
"Mission Hill","1950","6739","3632","733","801","0.0672826543469131"
"Mission Hill","1960","5613","2705","835","810","0.0813008130081301"
"Mission Hill","1970","3402","2060","759","1327","0.175808161102279"
"Mission Hill","1980","2055","2042","1194","1423","0.211945189156985"
"Mission Hill","1990","2439","2000","1573","2327","0.279050245832834"
"Mission Hill","2000","1730","1451","1406","3163","0.408129032258065"
"Mission Hill","2010","1199","1572","1405","2493","0.373819163292847"
"Mission Hill","2020","1684","1674","1473","4457","0.479854313886412"
"Mission Hill","2025","2034","1595","1337","4424","0.471191926141767"
"North End","1950","7948","1106","182","219","0.0231623479640402"
"North End","1960","6134","1129","162","175","0.0230263157894737"
"North End","1970","5057","1183","285","356","0.051736666182241"
"North End","1980","2809","1611","620","1741","0.25674679250848"
"North End","1990","1748","1282","1247","3020","0.413868713169796"
"North End","2000","932","1066","1015","4923","0.620337701612903"
"North End","2010","512","639","831","5893","0.74831746031746"
"North End","2020","312","698","785","6756","0.790153575180499"
"North End","2025","237","699","703","6740","0.804331430242799"
"Roslindale","1950","9300","7202","1549","1333","0.068768056128766"
"Roslindale","1960","9727","7100","1962","1385","0.0686527213244771"
"Roslindale","1970","8490","8438","1686","1639","0.0809262825260455"
"Roslindale","1980","5711","7976","2232","2527","0.136994470345874"
"Roslindale","1990","4251","6345","4295","5133","0.25634238913304"
"Roslindale","2000","3868","5595","4725","6840","0.325280578276584"
"Roslindale","2010","2711","4943","4615","8783","0.417205016150484"
"Roslindale","2020","2314","4128","4100","11161","0.51427018117536"
"Roslindale","2025","2254","4425","3805","11502","0.523167236408901"
"Roxbury","1950","37679","15432","2761","2215","0.0381324564876823"
"Roxbury","1960","28024","9642","2199","1579","0.0380996042853006"
"Roxbury","1970","14801","7768","1678","1041","0.0411657703258463"
"Roxbury","1980","10426","8291","2690","2081","0.0885984332425068"
"Roxbury","1990","9976","7044","5015","3330","0.131283264340627"
"Roxbury","2000","7608","7825","5663","3851","0.154367258588207"
"Roxbury","2010","6488","7478","7093","6195","0.227306083510677"
"Roxbury","2020","6462","9449","8213","9523","0.283027000136961"
"Roxbury","2025","6455","9855","8506","9552","0.277925576854575"
"South Boston","1950","18781","8492","1457","977","0.032887871545427"
"South Boston","1960","15409","7327","905","697","0.0286383433314159"
"South Boston","1970","12345","7468","961","994","0.0456633590591694"
"South Boston","1980","7388","8798","1722","1338","0.0695209394159825"
"South Boston","1990","5144","8341","3888","3305","0.159831705193926"
"South Boston","2000","4047","6980","4440","6024","0.280303382811409"
"South Boston","2010","2464","5532","3202","12897","0.535256277235941"
"South Boston","2020","1533","3977","3226","22027","0.716017445760403"
"South Boston","2025","1365","4756","3740","22221","0.692642251799352"
"South Boston Waterfront","1950","291","76","3","12","0.031413612565445"
"South Boston Waterfront","1960","171","48","7","7","0.0300429184549356"
"South Boston Waterfront","1970","111","45","6","5","0.029940119760479"
"South Boston Waterfront","1980","56","49","10","9","0.0725806451612903"
"South Boston Waterfront","1990","37","42","69","89","0.375527426160338"
"South Boston Waterfront","2000","54","69","62","126","0.405144694533762"
"South Boston Waterfront","2010","33","161","111","1010","0.768060836501901"
"South Boston Waterfront","2020","0","74","245","5171","0.941828510595875"
"South Boston Waterfront","2025","23","125","338","6704","0.932423547851168"
"South End","1950","22827","5812","1409","1283","0.0409498579681466"
"South End","1960","15298","3673","1115","914","0.0435238095238095"
"South End","1970","7410","3170","1086","1643","0.123450296791645"
"South End","1980","5251","3427","2044","4652","0.302588786262521"
"South End","1990","4154","2276","3096","7638","0.44500116522955"
"South End","2000","3600","2641","2720","9931","0.525672242218929"
"South End","2010","3013","2646","2696","13489","0.617515107123238"
"South End","2020","2923","2863","3054","17375","0.662799535787895"
"South End","2025","2855","3199","2815","19337","0.685566180344571"
"West End","1950","5398","1380","386","375","0.049741345005969"
"West End","1960","869","242","83","131","0.0988679245283019"
"West End","1970","612","522","327","900","0.381194409148666"
"West End","1980","355","648","667","1781","0.51608229498696"
"West End","1990","364","310","501","1921","0.620478036175711"
"West End","2000","421","489","614","2437","0.615248674577127"
"West End","2010","276","199","563","3109","0.749698577284784"
"West End","2020","238","615","477","5544","0.806544279434295"
"West End","2025","248","658","458","6544","0.827434324301373"
"West Roxbury","1950","6751","6189","1683","2118","0.12651573980049"
"West Roxbury","1960","7054","6781","2299","2327","0.126049509777369"
"West Roxbury","1970","6341","8797","2692","3200","0.152163575844032"
"West Roxbury","1980","4537","8967","3491","4865","0.222552607502287"
"West Roxbury","1990","2867","6847","4572","8121","0.36243138304994"
"West Roxbury","2000","2713","5105","4717","8964","0.41694962556398"
"West Roxbury","2010","1384","4868","5029","11229","0.498844957796535"
"West Roxbury","2020","1260","3562","4314","14362","0.611218841245463"
"West Roxbury","2025","1266","3535","4919","14315","0.595561539709876"
