"Topic: Population",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Male","Female","Population per square mile"
"South End","2000","13500","10710","28645.2326321464"
"South End","2010","14158","13198","32367.5747164394"
"South End","2020","16250","16345","38566.1103476169"
"South End","2024","17225","17322","40875.9542231624"
"South End","2025","17245","17337","40917.3861837945"
"West End","1950","6471","6438","47383.0684406671"
"West End","1960","1001","981","7275.02065608507"
"West End","1970","1620","1676","12098.117095084"
"West End","1980","2288","2066","15981.5539538821"
"West End","1990","1955","1696","13401.1606535654"
"West End","2000","2581","2123","17266.2447861878"
"West End","2010","3015","2408","19905.3668102671"
"West End","2020","4274","4447","32009.5601993442"
"West End","2024","4561","4678","33912.1674276337"
"West End","2025","4594","4712","34158.111209952"
"West Roxbury","1950","12608","14457","5271.05633436033"
"West Roxbury","1960","13958","15837","5802.73872094093"
"West Roxbury","1970","15910","18304","6663.36306757083"
"West Roxbury","1980","14049","17284","6102.27260759329"
"West Roxbury","1990","13327","16379","5785.40548562749"
"West Roxbury","2000","13083","15670","5599.80353895668"
"West Roxbury","2010","13950","16495","5929.32976536488"
"West Roxbury","2020","14667","17116","6189.78971747575"
"West Roxbury","2024","14312","16897","6078.12293142626"
"West Roxbury","2025","14400","16981","6111.62086933536"
